ID_cleaned,job_title,salary_usd,salary_distribution_usd,experience_level_cleaned,employment_type_cleaned,company_location,company_size_cleaned,employee_residence,education_required,years_experience,industry
33,Robotics Engineer,146852,"140,000 - 160,000 USD",Senior,Full-Time,Switzerland,Small,Switzerland,PhD,7,Real Estate
34,ML Ops Engineer,178183,"160,000 - 180,000 USD",Executive,Freelance,Finland,Medium,Finland,Associate,16,Education
35,Deep Learning Engineer,150864,"140,000 - 160,000 USD",Senior,Freelance,Sweden,Large,Singapore,PhD,8,Consulting
36,Head of AI,126942,"120,000 - 140,000 USD",Executive,Contract,Finland,Large,Netherlands,Associate,10,Finance
37,AI Architect,53752,"40,000 - 60,000 USD",Mid-level,Part-Time,Japan,Medium,Japan,Associate,2,Telecommunications
38,Robotics Engineer,111381,"100,000 - 120,000 USD",Executive,Contract,Israel,Small,Israel,Master,18,Government
39,AI Specialist,41430,"40,000 - 60,000 USD",Entry-level,Part-Time,China,Medium,China,Bachelor,1,Healthcare
40,Data Engineer,166080,"160,000 - 180,000 USD",Executive,Freelance,Netherlands,Large,Netherlands,Associate,15,Government
41,Data Scientist,96956,"80,000 - 100,000 USD",Mid-level,Full-Time,United States,Medium,China,Bachelor,2,Telecommunications
42,AI Architect,196954,"More than 180,000 USD",Senior,Freelance,United States,Large,United States,Bachelor,8,Finance
43,AI Specialist,56745,"40,000 - 60,000 USD",Entry-level,Part-Time,Finland,Large,Finland,Associate,1,Telecommunications
44,Machine Learning Researcher,113455,"100,000 - 120,000 USD",Senior,Full-Time,Singapore,Medium,Singapore,Associate,8,Retail
45,ML Ops Engineer,158808,"140,000 - 160,000 USD",Senior,Part-Time,Netherlands,Medium,Netherlands,Bachelor,5,Media
46,AI Research Scientist,174663,"160,000 - 180,000 USD",Senior,Contract,United States,Medium,Singapore,Associate,7,Media
47,AI Research Scientist,46753,"40,000 - 60,000 USD",Entry-level,Contract,India,Small,India,PhD,1,Manufacturing
48,AI Software Engineer,69020,"60,000 - 80,000 USD",Mid-level,Freelance,China,Large,China,Bachelor,4,Energy
49,AI Specialist,288815,"More than 180,000 USD",Executive,Part-Time,Switzerland,Small,Switzerland,Bachelor,12,Manufacturing
50,AI Consultant,124871,"120,000 - 140,000 USD",Executive,Freelance,Austria,Medium,Finland,PhD,19,Media
51,AI Architect,70391,"60,000 - 80,000 USD",Mid-level,Full-Time,Germany,Small,Germany,PhD,4,Government
52,Research Scientist,115376,"100,000 - 120,000 USD",Executive,Full-Time,India,Medium,India,Master,17,Technology
53,Research Scientist,106579,"100,000 - 120,000 USD",Mid-level,Part-Time,United States,Small,United States,Associate,3,Gaming
54,Data Scientist,135230,"120,000 - 140,000 USD",Senior,Part-Time,Norway,Small,Norway,PhD,8,Consulting
55,Research Scientist,67607,"60,000 - 80,000 USD",Mid-level,Part-Time,Israel,Small,Israel,Master,4,Media
56,AI Architect,88470,"80,000 - 100,000 USD",Mid-level,Part-Time,Canada,Large,Canada,Associate,3,Real Estate
57,Autonomous Systems Engineer,79863,"60,000 - 80,000 USD",Mid-level,Freelance,India,Large,India,Associate,4,Automotive
58,Machine Learning Engineer,60299,"60,000 - 80,000 USD",Entry-level,Part-Time,Israel,Large,Israel,PhD,0,Finance
59,Machine Learning Engineer,85645,"80,000 - 100,000 USD",Mid-level,Full-Time,Germany,Medium,Germany,Associate,4,Transportation
60,AI Software Engineer,110222,"100,000 - 120,000 USD",Senior,Freelance,United Kingdom,Small,France,Associate,8,Media
61,Data Scientist,49365,"40,000 - 60,000 USD",Entry-level,Full-Time,China,Medium,China,Associate,1,Finance
62,Data Scientist,162296,"160,000 - 180,000 USD",Senior,Part-Time,Norway,Small,Norway,Bachelor,6,Finance
63,AI Consultant,102382,"100,000 - 120,000 USD",Mid-level,Part-Time,Switzerland,Medium,Switzerland,PhD,3,Education
64,AI Software Engineer,99972,"80,000 - 100,000 USD",Mid-level,Part-Time,Australia,Medium,Canada,PhD,4,Technology
65,Data Engineer,64129,"60,000 - 80,000 USD",Entry-level,Contract,South Korea,Large,South Korea,Bachelor,0,Manufacturing
66,AI Specialist,87938,"80,000 - 100,000 USD",Senior,Full-Time,Ireland,Small,Ireland,PhD,8,Education
67,Autonomous Systems Engineer,71405,"60,000 - 80,000 USD",Mid-level,Freelance,Israel,Large,Israel,Associate,4,Retail
68,Machine Learning Engineer,316182,"More than 180,000 USD",Executive,Part-Time,Denmark,Medium,Canada,Associate,12,Finance
69,Machine Learning Researcher,72459,"60,000 - 80,000 USD",Entry-level,Part-Time,Germany,Medium,Germany,Bachelor,0,Gaming
70,Principal Data Scientist,78338,"60,000 - 80,000 USD",Mid-level,Full-Time,France,Large,France,Associate,3,Technology
71,NLP Engineer,51907,"40,000 - 60,000 USD",Mid-level,Freelance,Israel,Medium,Singapore,Bachelor,4,Healthcare
72,Autonomous Systems Engineer,122831,"120,000 - 140,000 USD",Senior,Freelance,France,Small,France,Master,7,Real Estate
73,Machine Learning Researcher,124820,"120,000 - 140,000 USD",Mid-level,Freelance,Norway,Small,Norway,Associate,3,Real Estate
74,Autonomous Systems Engineer,134200,"120,000 - 140,000 USD",Senior,Part-Time,United Kingdom,Small,United Kingdom,PhD,9,Retail
75,Data Engineer,51920,"40,000 - 60,000 USD",Entry-level,Part-Time,Sweden,Small,Finland,PhD,0,Consulting
76,Data Engineer,56427,"40,000 - 60,000 USD",Entry-level,Freelance,Singapore,Medium,Singapore,Master,0,Energy
77,AI Product Manager,213783,"More than 180,000 USD",Executive,Full-Time,Canada,Small,Canada,Bachelor,16,Energy
78,ML Ops Engineer,59728,"40,000 - 60,000 USD",Mid-level,Freelance,Israel,Medium,Israel,Associate,2,Finance
79,Computer Vision Engineer,119432,"100,000 - 120,000 USD",Senior,Contract,India,Large,India,PhD,6,Technology
80,AI Research Scientist,284486,"More than 180,000 USD",Executive,Contract,United States,Medium,United States,Master,12,Consulting
81,Data Analyst,157597,"140,000 - 160,000 USD",Executive,Contract,France,Large,France,Bachelor,17,Manufacturing
82,ML Ops Engineer,196942,"More than 180,000 USD",Executive,Contract,Australia,Large,Australia,Master,19,Gaming
83,Machine Learning Researcher,207548,"More than 180,000 USD",Executive,Contract,Canada,Medium,Canada,PhD,10,Energy
84,NLP Engineer,68838,"60,000 - 80,000 USD",Mid-level,Freelance,Sweden,Small,Sweden,PhD,3,Automotive
85,ML Ops Engineer,125666,"120,000 - 140,000 USD",Executive,Freelance,Finland,Large,Finland,PhD,13,Telecommunications
86,NLP Engineer,73174,"60,000 - 80,000 USD",Entry-level,Full-Time,Denmark,Medium,Denmark,Associate,0,Finance
87,Autonomous Systems Engineer,33314,"Less than 40,000 USD",Entry-level,Contract,Israel,Small,India,Bachelor,0,Manufacturing
88,AI Specialist,69914,"60,000 - 80,000 USD",Entry-level,Full-Time,United States,Small,United States,Associate,0,Transportation
89,Principal Data Scientist,152118,"140,000 - 160,000 USD",Executive,Freelance,France,Medium,France,Master,11,Automotive
90,AI Software Engineer,78014,"60,000 - 80,000 USD",Entry-level,Contract,France,Large,France,PhD,0,Real Estate
91,Research Scientist,48466,"40,000 - 60,000 USD",Entry-level,Part-Time,Canada,Small,Canada,Bachelor,0,Automotive
92,Data Analyst,97997,"80,000 - 100,000 USD",Senior,Contract,France,Small,France,PhD,8,Technology
93,Principal Data Scientist,128341,"120,000 - 140,000 USD",Senior,Freelance,Singapore,Small,Singapore,Bachelor,9,Finance
94,AI Research Scientist,111528,"100,000 - 120,000 USD",Mid-level,Freelance,United States,Large,United States,PhD,3,Real Estate
95,Machine Learning Researcher,138945,"120,000 - 140,000 USD",Executive,Part-Time,Canada,Small,Canada,Master,19,Education
96,NLP Engineer,98688,"80,000 - 100,000 USD",Senior,Full-Time,Israel,Medium,Israel,Bachelor,8,Manufacturing
97,Data Analyst,109029,"100,000 - 120,000 USD",Senior,Full-Time,France,Small,France,Bachelor,6,Technology
98,NLP Engineer,84797,"80,000 - 100,000 USD",Mid-level,Full-Time,Canada,Medium,Canada,Master,4,Real Estate
99,Machine Learning Researcher,290199,"More than 180,000 USD",Executive,Contract,Switzerland,Large,Denmark,Master,12,Retail
100,AI Research Scientist,195691,"More than 180,000 USD",Senior,Contract,United States,Large,United States,PhD,8,Transportation
101,AI Product Manager,193448,"More than 180,000 USD",Senior,Full-Time,Norway,Large,Norway,Associate,9,Consulting
102,AI Product Manager,138466,"120,000 - 140,000 USD",Executive,Part-Time,Israel,Large,Israel,Associate,16,Government
103,Data Analyst,91577,"80,000 - 100,000 USD",Mid-level,Contract,Netherlands,Medium,Netherlands,Bachelor,3,Transportation
104,Computer Vision Engineer,92875,"80,000 - 100,000 USD",Mid-level,Full-Time,Sweden,Small,Sweden,PhD,3,Real Estate
105,Data Engineer,213287,"More than 180,000 USD",Executive,Full-Time,United Kingdom,Small,United Kingdom,Master,13,Healthcare
106,NLP Engineer,62171,"60,000 - 80,000 USD",Mid-level,Full-Time,Japan,Small,Japan,Bachelor,2,Consulting
107,AI Research Scientist,152658,"140,000 - 160,000 USD",Executive,Freelance,South Korea,Large,United Kingdom,Associate,16,Automotive
108,ML Ops Engineer,95085,"80,000 - 100,000 USD",Mid-level,Full-Time,Norway,Medium,Norway,Associate,2,Retail
109,Deep Learning Engineer,86750,"80,000 - 100,000 USD",Mid-level,Freelance,France,Small,France,PhD,2,Government
110,AI Specialist,64261,"60,000 - 80,000 USD",Mid-level,Part-Time,Israel,Medium,Israel,Master,2,Transportation
111,Machine Learning Researcher,205357,"More than 180,000 USD",Executive,Part-Time,United States,Small,United States,Bachelor,18,Education
112,AI Architect,165676,"160,000 - 180,000 USD",Executive,Contract,France,Small,France,Associate,18,Government
113,Computer Vision Engineer,114658,"100,000 - 120,000 USD",Senior,Contract,France,Medium,France,Bachelor,9,Telecommunications
114,Data Scientist,143149,"140,000 - 160,000 USD",Senior,Freelance,France,Large,France,Master,6,Real Estate
115,Machine Learning Researcher,116276,"100,000 - 120,000 USD",Senior,Freelance,Germany,Small,Germany,Bachelor,7,Technology
116,NLP Engineer,61055,"60,000 - 80,000 USD",Entry-level,Freelance,United States,Medium,Ireland,Bachelor,0,Retail
117,ML Ops Engineer,50303,"40,000 - 60,000 USD",Entry-level,Full-Time,Austria,Large,Austria,Master,0,Gaming
118,Data Analyst,65570,"60,000 - 80,000 USD",Senior,Freelance,Ireland,Small,Ireland,Associate,7,Retail
119,AI Software Engineer,231078,"More than 180,000 USD",Executive,Freelance,Singapore,Medium,Singapore,Bachelor,17,Consulting
120,AI Product Manager,106633,"100,000 - 120,000 USD",Senior,Full-Time,Australia,Medium,South Korea,Bachelor,9,Automotive
121,AI Specialist,121180,"120,000 - 140,000 USD",Senior,Freelance,Austria,Large,Austria,Master,9,Media
122,Principal Data Scientist,64531,"60,000 - 80,000 USD",Entry-level,Part-Time,China,Large,Netherlands,PhD,0,Retail
123,Machine Learning Engineer,125654,"120,000 - 140,000 USD",Mid-level,Contract,Singapore,Large,Singapore,PhD,4,Automotive
124,Machine Learning Researcher,182275,"More than 180,000 USD",Executive,Full-Time,Austria,Large,Austria,PhD,14,Technology
125,Machine Learning Researcher,117708,"100,000 - 120,000 USD",Mid-level,Freelance,Denmark,Large,Denmark,PhD,4,Transportation
126,Data Engineer,143246,"140,000 - 160,000 USD",Executive,Full-Time,South Korea,Small,South Korea,Master,11,Healthcare
127,AI Product Manager,203198,"More than 180,000 USD",Senior,Full-Time,Denmark,Large,Denmark,Master,5,Consulting
128,Research Scientist,69487,"60,000 - 80,000 USD",Entry-level,Contract,Switzerland,Small,Switzerland,Master,0,Transportation
129,AI Product Manager,95673,"80,000 - 100,000 USD",Executive,Freelance,Ireland,Small,Ireland,Associate,17,Technology
130,AI Software Engineer,59405,"40,000 - 60,000 USD",Entry-level,Freelance,Austria,Large,Austria,Bachelor,1,Consulting
131,AI Specialist,131756,"120,000 - 140,000 USD",Senior,Part-Time,Netherlands,Medium,Finland,PhD,5,Technology
132,AI Software Engineer,42835,"40,000 - 60,000 USD",Entry-level,Part-Time,South Korea,Large,France,Bachelor,0,Media
133,Autonomous Systems Engineer,61893,"60,000 - 80,000 USD",Entry-level,Full-Time,Canada,Medium,Canada,Associate,1,Consulting
134,ML Ops Engineer,141791,"140,000 - 160,000 USD",Executive,Contract,France,Medium,France,PhD,13,Media
135,AI Product Manager,258637,"More than 180,000 USD",Executive,Part-Time,United Kingdom,Medium,United Kingdom,Master,11,Education
136,NLP Engineer,49485,"40,000 - 60,000 USD",Mid-level,Full-Time,Finland,Small,Finland,Associate,2,Technology
137,Robotics Engineer,172916,"160,000 - 180,000 USD",Senior,Part-Time,Norway,Small,India,Bachelor,8,Manufacturing
138,Machine Learning Engineer,324557,"More than 180,000 USD",Executive,Full-Time,Denmark,Large,Denmark,PhD,11,Telecommunications
139,AI Consultant,73894,"60,000 - 80,000 USD",Mid-level,Contract,France,Medium,France,Bachelor,4,Consulting
140,Principal Data Scientist,122598,"120,000 - 140,000 USD",Senior,Full-Time,Sweden,Small,India,Associate,9,Media
141,Data Scientist,94478,"80,000 - 100,000 USD",Mid-level,Freelance,Denmark,Small,Denmark,PhD,4,Retail
142,Autonomous Systems Engineer,53088,"40,000 - 60,000 USD",Entry-level,Part-Time,Austria,Medium,Austria,PhD,1,Finance
143,Machine Learning Researcher,116012,"100,000 - 120,000 USD",Mid-level,Full-Time,Denmark,Medium,Australia,Master,3,Automotive
144,Deep Learning Engineer,35593,"Less than 40,000 USD",Entry-level,Contract,China,Small,China,Bachelor,0,Media
145,AI Product Manager,149053,"140,000 - 160,000 USD",Executive,Full-Time,Austria,Small,Austria,Master,17,Media
146,Principal Data Scientist,88230,"80,000 - 100,000 USD",Mid-level,Full-Time,Austria,Large,Austria,Associate,4,Education
147,AI Research Scientist,224919,"More than 180,000 USD",Executive,Freelance,Australia,Medium,Switzerland,Associate,19,Education
148,Machine Learning Researcher,220439,"More than 180,000 USD",Executive,Part-Time,Netherlands,Small,Netherlands,Associate,12,Manufacturing
149,NLP Engineer,48861,"40,000 - 60,000 USD",Entry-level,Part-Time,Finland,Small,Finland,Bachelor,0,Healthcare
150,AI Specialist,115841,"100,000 - 120,000 USD",Senior,Freelance,United States,Small,United States,PhD,7,Healthcare
151,NLP Engineer,57266,"40,000 - 60,000 USD",Mid-level,Freelance,Ireland,Medium,Ireland,Bachelor,3,Media
152,Deep Learning Engineer,66384,"60,000 - 80,000 USD",Mid-level,Contract,Australia,Small,Israel,Associate,2,Government
153,Data Analyst,184637,"More than 180,000 USD",Executive,Part-Time,Sweden,Small,Sweden,Bachelor,11,Government
154,AI Research Scientist,92445,"80,000 - 100,000 USD",Mid-level,Contract,Netherlands,Medium,Finland,Bachelor,4,Technology
155,Machine Learning Researcher,57388,"40,000 - 60,000 USD",Entry-level,Freelance,Canada,Large,Canada,Associate,1,Consulting
156,Head of AI,53374,"40,000 - 60,000 USD",Mid-level,Part-Time,China,Medium,China,PhD,2,Government
157,AI Research Scientist,95716,"80,000 - 100,000 USD",Senior,Contract,Finland,Small,Finland,PhD,6,Media
158,NLP Engineer,157091,"140,000 - 160,000 USD",Mid-level,Freelance,Norway,Large,Norway,PhD,2,Transportation
159,ML Ops Engineer,204144,"More than 180,000 USD",Senior,Freelance,Norway,Large,Norway,PhD,8,Telecommunications
160,AI Software Engineer,190314,"More than 180,000 USD",Executive,Contract,Netherlands,Medium,Netherlands,PhD,12,Government
161,Principal Data Scientist,198403,"More than 180,000 USD",Executive,Freelance,Denmark,Medium,Israel,Associate,15,Media
162,Research Scientist,153040,"140,000 - 160,000 USD",Senior,Contract,Canada,Large,Canada,Bachelor,7,Manufacturing
163,AI Software Engineer,51898,"40,000 - 60,000 USD",Mid-level,Freelance,Israel,Small,Israel,Associate,2,Consulting
164,AI Architect,115191,"100,000 - 120,000 USD",Senior,Freelance,Germany,Small,Netherlands,Associate,7,Education
165,ML Ops Engineer,170139,"160,000 - 180,000 USD",Senior,Part-Time,United States,Large,Denmark,Bachelor,5,Technology
166,ML Ops Engineer,63860,"60,000 - 80,000 USD",Entry-level,Contract,Canada,Large,Canada,Master,0,Gaming
167,NLP Engineer,125152,"120,000 - 140,000 USD",Mid-level,Contract,Norway,Medium,Norway,PhD,3,Retail
168,AI Software Engineer,61572,"60,000 - 80,000 USD",Entry-level,Contract,South Korea,Large,South Korea,Bachelor,0,Healthcare
169,Head of AI,101054,"100,000 - 120,000 USD",Mid-level,Contract,Germany,Medium,Israel,Master,3,Transportation
170,Data Engineer,145355,"140,000 - 160,000 USD",Executive,Contract,Canada,Small,Canada,Master,13,Media
171,Deep Learning Engineer,183484,"More than 180,000 USD",Executive,Full-Time,Singapore,Small,Singapore,Master,19,Gaming
172,AI Product Manager,111997,"100,000 - 120,000 USD",Mid-level,Contract,Singapore,Large,Singapore,PhD,2,Technology
173,AI Specialist,214195,"More than 180,000 USD",Executive,Part-Time,United Kingdom,Medium,Sweden,Bachelor,19,Manufacturing
174,AI Software Engineer,93211,"80,000 - 100,000 USD",Senior,Part-Time,India,Medium,United Kingdom,Master,9,Manufacturing
175,Deep Learning Engineer,82209,"80,000 - 100,000 USD",Entry-level,Part-Time,Germany,Large,Germany,Master,1,Transportation
176,AI Software Engineer,149669,"140,000 - 160,000 USD",Senior,Part-Time,Germany,Medium,Germany,Associate,9,Retail
177,AI Software Engineer,56825,"40,000 - 60,000 USD",Mid-level,Part-Time,China,Medium,China,Associate,3,Government
178,Research Scientist,131635,"120,000 - 140,000 USD",Mid-level,Full-Time,Denmark,Large,Denmark,PhD,2,Manufacturing
179,NLP Engineer,163843,"160,000 - 180,000 USD",Senior,Freelance,Norway,Large,Norway,PhD,7,Telecommunications
180,AI Consultant,73281,"60,000 - 80,000 USD",Mid-level,Contract,India,Large,India,Bachelor,2,Technology
181,Principal Data Scientist,51907,"40,000 - 60,000 USD",Mid-level,Contract,South Korea,Medium,South Korea,Associate,3,Technology
182,NLP Engineer,178240,"160,000 - 180,000 USD",Executive,Freelance,Netherlands,Small,Netherlands,Bachelor,12,Real Estate
183,Machine Learning Researcher,83226,"80,000 - 100,000 USD",Senior,Full-Time,Ireland,Small,Israel,Master,7,Technology
184,AI Product Manager,46995,"40,000 - 60,000 USD",Entry-level,Full-Time,Austria,Small,Austria,Master,1,Finance
185,AI Research Scientist,275296,"More than 180,000 USD",Executive,Full-Time,Switzerland,Large,Switzerland,Associate,14,Transportation
186,Deep Learning Engineer,300422,"More than 180,000 USD",Executive,Part-Time,Denmark,Medium,India,Bachelor,11,Education
187,AI Product Manager,116704,"100,000 - 120,000 USD",Mid-level,Contract,Canada,Large,Canada,Bachelor,2,Finance
188,AI Specialist,98422,"80,000 - 100,000 USD",Entry-level,Part-Time,United States,Large,United States,PhD,0,Transportation
189,Machine Learning Researcher,210249,"More than 180,000 USD",Executive,Part-Time,Norway,Medium,Singapore,Master,15,Gaming
190,NLP Engineer,67708,"60,000 - 80,000 USD",Mid-level,Freelance,South Korea,Small,France,Master,3,Manufacturing
191,Data Engineer,95796,"80,000 - 100,000 USD",Executive,Freelance,Austria,Small,Austria,Master,13,Consulting
192,Head of AI,229098,"More than 180,000 USD",Executive,Part-Time,Denmark,Large,China,Master,17,Government
193,ML Ops Engineer,134300,"120,000 - 140,000 USD",Executive,Contract,Ireland,Small,Ireland,Master,11,Education
194,AI Specialist,74408,"60,000 - 80,000 USD",Entry-level,Contract,Australia,Medium,Norway,Associate,1,Automotive
195,AI Architect,201971,"More than 180,000 USD",Executive,Full-Time,Netherlands,Medium,Australia,PhD,13,Technology
196,AI Software Engineer,180764,"More than 180,000 USD",Executive,Contract,France,Small,France,Master,17,Gaming
197,Principal Data Scientist,49644,"40,000 - 60,000 USD",Entry-level,Contract,China,Large,Canada,Bachelor,0,Finance
198,AI Product Manager,89115,"80,000 - 100,000 USD",Senior,Contract,South Korea,Medium,South Korea,Master,7,Energy
199,AI Software Engineer,38540,"Less than 40,000 USD",Entry-level,Part-Time,Austria,Small,Austria,Associate,1,Technology
200,AI Product Manager,180252,"More than 180,000 USD",Senior,Full-Time,United States,Large,United States,Master,7,Telecommunications
201,Robotics Engineer,56585,"40,000 - 60,000 USD",Entry-level,Full-Time,Netherlands,Small,Netherlands,Master,1,Gaming
202,AI Specialist,103942,"100,000 - 120,000 USD",Senior,Freelance,Sweden,Medium,Sweden,PhD,5,Education
203,Autonomous Systems Engineer,176009,"160,000 - 180,000 USD",Senior,Freelance,United Kingdom,Large,United Kingdom,Bachelor,9,Automotive
204,AI Specialist,59056,"40,000 - 60,000 USD",Mid-level,Contract,Ireland,Medium,Ireland,Associate,2,Healthcare
205,AI Consultant,76940,"60,000 - 80,000 USD",Mid-level,Full-Time,Austria,Medium,Austria,Associate,3,Transportation
206,Machine Learning Engineer,110341,"100,000 - 120,000 USD",Senior,Contract,United Kingdom,Medium,Canada,PhD,7,Retail
207,Data Scientist,102922,"100,000 - 120,000 USD",Mid-level,Freelance,United Kingdom,Large,United Kingdom,Associate,4,Government
208,Machine Learning Researcher,44130,"40,000 - 60,000 USD",Entry-level,Full-Time,Japan,Small,Switzerland,Master,0,Technology
209,Data Engineer,128112,"120,000 - 140,000 USD",Senior,Contract,Singapore,Large,Singapore,Associate,5,Telecommunications
210,Data Analyst,48892,"40,000 - 60,000 USD",Entry-level,Contract,France,Medium,Ireland,Bachelor,0,Consulting
211,Research Scientist,127478,"120,000 - 140,000 USD",Mid-level,Contract,United Kingdom,Large,United Kingdom,Master,4,Transportation
212,AI Research Scientist,100524,"100,000 - 120,000 USD",Senior,Freelance,Finland,Medium,Finland,PhD,6,Gaming
213,Deep Learning Engineer,45429,"40,000 - 60,000 USD",Entry-level,Full-Time,Japan,Large,Netherlands,Associate,0,Gaming
214,ML Ops Engineer,62262,"60,000 - 80,000 USD",Mid-level,Full-Time,Austria,Large,France,Bachelor,4,Healthcare
215,AI Specialist,68595,"60,000 - 80,000 USD",Mid-level,Full-Time,China,Small,China,Master,4,Manufacturing
216,AI Software Engineer,301038,"More than 180,000 USD",Executive,Part-Time,Norway,Medium,Norway,PhD,18,Media
217,Robotics Engineer,46253,"40,000 - 60,000 USD",Entry-level,Contract,China,Medium,China,Associate,1,Government
218,NLP Engineer,59644,"40,000 - 60,000 USD",Entry-level,Part-Time,Australia,Medium,Australia,Associate,0,Consulting
219,Principal Data Scientist,53960,"40,000 - 60,000 USD",Mid-level,Part-Time,Finland,Medium,Finland,Master,3,Telecommunications
220,Computer Vision Engineer,94894,"80,000 - 100,000 USD",Entry-level,Part-Time,Netherlands,Large,Netherlands,Associate,1,Real Estate
221,Autonomous Systems Engineer,91611,"80,000 - 100,000 USD",Senior,Contract,Israel,Large,Israel,Associate,5,Finance
222,NLP Engineer,285880,"More than 180,000 USD",Executive,Freelance,Netherlands,Large,Canada,Master,18,Finance
223,AI Architect,115263,"100,000 - 120,000 USD",Mid-level,Freelance,United Kingdom,Large,United Kingdom,Bachelor,3,Finance
224,Research Scientist,51882,"40,000 - 60,000 USD",Mid-level,Contract,China,Small,China,Associate,3,Technology
225,Data Scientist,82051,"80,000 - 100,000 USD",Mid-level,Part-Time,Germany,Medium,Canada,Master,2,Automotive
226,ML Ops Engineer,122331,"120,000 - 140,000 USD",Senior,Freelance,Canada,Large,Canada,PhD,5,Retail
227,AI Product Manager,159643,"140,000 - 160,000 USD",Senior,Part-Time,United States,Small,United States,Master,5,Gaming
228,Research Scientist,254305,"More than 180,000 USD",Executive,Freelance,United Kingdom,Medium,United Kingdom,Bachelor,15,Transportation
229,Data Analyst,52027,"40,000 - 60,000 USD",Mid-level,Part-Time,South Korea,Medium,South Korea,Master,2,Retail
230,Robotics Engineer,43072,"40,000 - 60,000 USD",Entry-level,Part-Time,India,Small,United Kingdom,Associate,0,Energy
231,Research Scientist,87011,"80,000 - 100,000 USD",Mid-level,Freelance,France,Large,India,PhD,4,Gaming
