ID_cleaned,AWS,Azure,Docker,GCP,Git,Hadoop,Java,Kubernetes,MLOps,MLP,PyTorch,Python,R,SQL,Scala,PySpark,Tableau,Tensorflow
45,,,158808,,,,,,,,,,158808,,,,,
46,,,,,,,,,,,,,174663,,,,,
47,,,,,,,46753,,,,,,,,46753,,46753,
48,,69020,,69020,,,69020,,,,,,,,,,,
49,,,,,288815,,288815,,,,,,,,,,,
50,124871,,124871,,,124871,,,,,,,,,,,,
51,,,,,,,,,,,,,,70391,,,,
52,,115376,,,115376,,,,,,,,115376,,,,,
53,,,106579,,,,,,,,,,,,,,106579,
54,,,,,,,,135230,,,135230,,135230,,,,,
55,67607,,,,,,,,,,,67607,,,,,67607,67607
56,,88470,,,,,,88470,,,,,,,,88470,,88470
57,,,79863,79863,,,,,,,,79863,,,79863,,,
58,,,,,60299,,,,,,,60299,,,,,,60299
59,,,,,,,,,,,85645,,85645,,,,,
60,110222,,,,,,,,,,,,110222,,,110222,,
61,,49365,,,,,,,,49365,49365,,,,,,49365,
62,,162296,,,,,,,,,,,,,,,,162296
63,,,102382,,,,,,,,,,,,102382,,,102382
64,,99972,,,,,99972,,,99972,,,99972,,,,,
65,,,,,64129,,64129,,,,,,,,,,,
66,87938,,,,,,,,,,,87938,,,,87938,,
67,,,,,,,71405,,71405,,71405,,,71405,,,,
68,,,,,316182,,,,,,,316182,,,316182,,,
69,,72459,,,,72459,,72459,,,,72459,,,,,,
70,,,,,78338,,,78338,78338,,,78338,,,,,,
71,,51907,,,,,,51907,,,,,,,,,,
72,,,,,122831,,,122831,,,122831,,,122831,,,,
73,,124820,,,,,,,,124820,,,,,,124820,,
74,,,,,,,,,,,,,134200,,,,134200,
75,,,,,,,,,,,,,51920,,51920,,51920,
76,,,,,,,,56427,,,,,,,,56427,,
77,,,,,,,,213783,,,,,,,213783,213783,,
78,,,,,,,,,59728,,,,,59728,,,,
79,,,,,,,,,119432,119432,,,,,119432,,,
80,,,,,,,,,,,284486,,,284486,,,,
81,,,,,157597,,157597,157597,,,,,157597,,,,,157597
82,,,196942,,,,,,196942,,,,196942,196942,,,196942,
83,,207548,,,,,,,,207548,,,,,,207548,,
84,,68838,,,,,68838,,,,,,,68838,,68838,68838,
85,,,125666,,125666,,125666,125666,,,,125666,,,,,,
86,,,,,73174,73174,,,73174,,,73174,,,,73174,,
87,,,33314,,,,,33314,,,,,,33314,,,,
88,,,,69914,,,,,,69914,,,69914,69914,,,,
89,,,,,,,,,,,,152118,,152118,,152118,,
90,,,,,,78014,,,,,78014,,,,78014,,,
91,,,,,,48466,,48466,,,,48466,,,,48466,,
92,,,,,,97997,,,,,,97997,97997,,,,,97997
93,,,,128341,,,,,,,128341,,,,,,,
94,,,,,,111528,111528,,,,,,,,,,,
95,,,,,138945,,,,,138945,138945,,138945,,,,,
96,,,,,98688,,,,,,98688,98688,,,,,,98688
97,,,,,,,109029,109029,,,,,,,109029,,,
98,,,,,,,,,,,,,,,,,,84797
99,290199,,,,,,,290199,,,,290199,,,,,,
100,,,195691,,,,,195691,195691,,,,,,,,,
101,,,,,193448,,193448,,,,,,,,193448,,,
102,138466,138466,,138466,,138466,,,,,138466,,,,,,,
103,,,,,,,,,,,91577,,,91577,,91577,,91577
104,,,,,,,,,,,,92875,,92875,,,,
105,,,,213287,,,,,,,213287,,,,,213287,,213287
106,,,,,62171,,,,,,62171,,,62171,,,,
107,,,,,,,,,,,152658,,,,,152658,,152658
108,,,,,95085,,,,,95085,,,,95085,,,,95085
109,,,,,86750,,86750,,,,,,86750,,,86750,,
110,,,64261,64261,,,,,,,64261,,,,,,,
111,205357,,,,205357,205357,,,,,,,,,,,,
112,,,,,,165676,,,,,,,,165676,,,,165676
113,,,,,,,,,,,,114658,,114658,114658,,,
114,,,,,,,,,,143149,,,143149,,,,,
115,,116276,,,,,,,116276,,,,116276,,,,,
116,61055,,61055,,,,,,,,,,61055,,,,,
117,,50303,,,,,,50303,,,,,,50303,,,,
118,65570,,,,,,,,65570,,65570,,,65570,,,,65570
119,,,,,231078,,,,231078,,,,231078,,,,,
120,,,,,106633,,,,,,,,,106633,106633,,,
121,,,,121180,121180,,,121180,,,,,,,,,,
122,,,,,64531,,,,,,,64531,,64531,64531,,,
123,,,,,,,125654,,,,,125654,,,,,125654,
124,182275,182275,182275,,182275,,,,,,,,,,,,,
125,,,,,,,,,,,117708,,,,117708,,117708,
126,,,143246,,143246,,,143246,,,,,,143246,,,,
127,,,,,,,,,,,,203198,203198,,,,,203198
128,,69487,,,,,,69487,,,,,,,,69487,,69487
129,,95673,,95673,,,,,,,95673,,95673,,,,,
130,,,,,,,59405,,,,,59405,,,,59405,,
131,,,,,,,,,,,,,131756,,,131756,,
132,,,,,,,,,,,42835,42835,,,,,,42835
133,,,,,,,,,,,,61893,,61893,,,,
134,,141791,,,,141791,,,,,,141791,141791,,,,,
135,,258637,,258637,,,,,,,,258637,,258637,,,,
136,,,,,,49485,49485,,,,,,,,,,,
137,,,,,,,172916,,,,172916,,,172916,,,,
138,,,,,324557,324557,,,,,,324557,,,,,,324557
139,,,,,,,,73894,73894,,73894,,,,,,,
140,122598,,,,,,,,,,,,,,,,,
141,,,,,,94478,,,,,94478,94478,,,,,,94478
142,,,,53088,,,,53088,,,,,,53088,,,,
143,,,,,,,,,116012,,,116012,,116012,,,,
144,,,,,,35593,,,,,,35593,,,,,,
145,,,,149053,,149053,,,,,,,149053,,,,,
146,,88230,,,88230,,,,,,,88230,,,,,,88230
147,,,,,,,,224919,,,224919,,,,,,,
148,,,,220439,,,,,220439,,,,,220439,,,,
149,,,,48861,48861,,,,,,,48861,,,,,,
150,,,,,,,,115841,,,,,,,,,,115841
151,,,,,,,,,,,57266,,,,,,,57266
152,,,,,66384,66384,,,,,,,,,,,66384,
153,,,,,,,,,,,,,184637,184637,,,,
154,,,92445,,,,,,,,,92445,,,92445,,,
155,,,,57388,,,,,,,,57388,,,,,,57388
156,,,53374,,,,,,,,,,53374,,,,,
157,,95716,,,95716,,,,,,,,,,,95716,,
158,,,,,,,157091,157091,,157091,,157091,,157091,,,,
159,,,,,,204144,,,,,,,,,,,,
160,190314,,,190314,,,,,,,,,,,190314,,,
161,,,,,,,,,,,,,,198403,198403,,,
162,,,,153040,,,,,,,,,,153040,,,153040,
163,,,,,,,,,,51898,,51898,,,,,,
164,115191,,,,115191,,,,,,,,115191,,,,115191,
165,,,,,,170139,,,,,,170139,,,,170139,,
166,,63860,63860,63860,,,,,,,,,,,,,,63860
167,125152,,125152,,,,,,,,,,,,,125152,,125152
168,,61572,,,,,,61572,,,,,,,,,,
169,,,,,,,101054,,,101054,,,,,,,101054,
170,145355,,,,,,,,,,,,,,,145355,,
171,,,,,,,183484,,,,,,,,183484,,,183484
172,,,111997,,,111997,,,,,111997,,,,111997,,,
173,,,,214195,,,,,,,,214195,,,,,214195,
174,,,,93211,,,93211,,,,,93211,,,,,,93211
175,,,,,,,,,,,,82209,,,,,,82209
176,,149669,,,,149669,,,,,,,,,149669,,,
177,,56825,,,56825,,,,,,,,,,,56825,,
178,,,,131635,131635,,,131635,,131635,,,,,,,,
179,,,,,,,,163843,,,,163843,,,163843,,,
180,,73281,,,,,,,,,,73281,,,,,,
181,51907,,,,,,51907,,,,51907,,,,,,,
182,,,,,,,,,,,,178240,,,,178240,,178240
183,,,83226,83226,,,,,,,,,,83226,,,,
184,,46995,,,,,,,46995,46995,46995,,,,,,,
185,,275296,275296,,,,,,,275296,,,,,,,,
186,,,,,,,,,,,,300422,300422,,,,,300422
187,,,,,,,,,,116704,116704,,,116704,,,,
188,,,,,,,98422,,,,,98422,,,,,,
189,,,210249,,,,,,,,,,,,,,,
190,,67708,,,,,,,,67708,,,67708,,67708,,,
191,95796,,,,,,,,,,,95796,,,95796,,,95796
192,,,,,229098,,229098,229098,,,229098,,,229098,,,,
193,,,,,,,134300,,,,,134300,,,,,,
194,,,74408,,,,74408,,,74408,,,74408,,,,,74408
195,,,,,,,201971,,,,,,,,201971,,201971,
196,,,,180764,,,,,,,,,,,,,,180764
197,,49644,,,,,,,,,49644,49644,,,,,,49644
198,,,,,,,,,89115,89115,,89115,,,,,,
199,,,,,,,38540,38540,,,,,,,,38540,,
200,,,,,,,,180252,,,,,,180252,,,,180252
201,56585,,,,,,56585,,56585,56585,56585,,,,,,,
202,,,,,,,,,,,,103942,,,,,,103942
203,,176009,,,176009,,,,,,176009,,,176009,,,,176009
204,,,,59056,,,,,,,,,,59056,59056,,,
205,,,76940,,,,,,,,,,,,76940,,,
206,,,,,,,,110341,,,,,,,,110341,,
207,,,,,102922,,,,,,,102922,,102922,,,,
208,,,44130,44130,44130,,44130,,,,,44130,,,,,,
209,,,,,,128112,,,,,,,,,,,128112,
210,,,,,,,,,,48892,,48892,,,,,,
211,,,127478,,,127478,127478,,,,,,,,,,,
212,,,,,,,,100524,,,,100524,,,,,,100524
213,,,,45429,,,,,45429,,,45429,,,,,,
214,62262,,,,,,,,62262,,,,62262,62262,,,,
215,,68595,,,,,,,,,,68595,,,,,,68595
216,,301038,,301038,,,,,,,,,,301038,,301038,,
217,,,,,46253,46253,,,46253,,,,,,,,,46253
218,,,59644,59644,,,59644,,,,,,59644,,,,,
219,53960,,,,,,,,53960,,53960,,,,,,,
220,,,,,,94894,,,,,,94894,,,94894,,,
221,,,,,,,,91611,,,91611,,,91611,,,,
222,,,,,,,,,285880,,,,,285880,,285880,285880,
223,,,,,,115263,,115263,,115263,,,,,115263,,,
224,,,,,,,,,,,,,51882,51882,51882,,,
225,,,82051,,,,82051,,82051,,,82051,,,,,,
226,,,,,,,,,,122331,,122331,,122331,,,,
227,,,,159643,,159643,,,,,,,,,,,,
228,,,,,,254305,,,,,,254305,,,,,,
229,,,,,,,,52027,52027,,,,,,,,52027,
230,,,43072,,,,,,,43072,43072,,,,,43072,,43072
231,87011,,,,,,87011,,,,87011,,,,,,87011,
232,,36734,,,,,,,,,,36734,,,,,,
233,,,,,,84897,,,,,,,,,,,,84897
234,,173839,,,,173839,,,,,,,,,,,173839,173839
235,,,,59357,,,,59357,,59357,,,,59357,,,59357,
236,,,,,,,,,,,,51431,,,51431,,,
237,,,,,,96506,,96506,,,,,,,96506,96506,,
238,,,59198,,,,,59198,,,,,,,,,,59198
239,,,,,223757,,,,,,,223757,,,223757,,,
240,,,,,,74322,,,,,,74322,74322,,,74322,74322,
241,,,,,,,120749,120749,120749,,,,,120749,,,,120749
242,,138212,,,,138212,138212,,138212,,,,,,,,,
243,,,199039,,199039,,,,,,,,,,,,,
244,,,,,105699,105699,,,,,,,,,,105699,,
245,,,,,,,,,,,38497,38497,,,,38497,,
246,,63141,,,,,,,63141,,,,63141,,,,,
247,,,,,87871,87871,87871,,,,,,,,,,,
248,,,,255678,,,,,,,,,,255678,,,,255678
249,,132056,,,,,132056,,,,,132056,,,,,132056,
250,,,,,146085,,,,,146085,,146085,,,146085,,,
251,,,,,,,,,85037,,85037,85037,,85037,,,,
252,,,,,,,,,42661,,,42661,,42661,,,42661,
253,,,119706,,,119706,119706,,,,,119706,,,,,,119706
254,,,,,,,110064,110064,,,110064,,,,,,,
255,,91090,,,,,,,,91090,91090,,,,,,,91090
256,,,,80307,,,80307,,,,,,,,,80307,,
257,,,,107321,,,,,,,,107321,,107321,,,,
258,,,,59373,,,,,,,,59373,,,59373,,,
259,,65191,,65191,,,,,,,,65191,,,65191,,,
260,,,,,,,,,,,152969,,,,,152969,,152969
261,,,,,,,,,,,,147893,147893,,,,,147893
262,,,,,,,,,,,,69807,,69807,69807,,,
263,67824,,,67824,,,67824,,,,,,,,,67824,,
264,,,,,,,,,,,,,,,,,,
265,122796,,,,,,,,,,,,,,122796,122796,,
266,,,,81885,,,,,81885,,,81885,,,81885,,,
267,,,,,,,,,118505,,,118505,,,118505,,,
268,,,,,133565,,,,,,,133565,133565,,,133565,,
269,,,,,,,60019,60019,,,,,,,,,60019,
270,,,76875,,,76875,76875,,,,76875,76875,,,,,,
271,,,,,,,,,,,,64400,64400,,,,,
272,,,,,,,,,68857,,,68857,,,,,,
273,97840,,,,,,,,,,,,97840,,,,,
274,,168619,168619,,168619,,,,,168619,,,,168619,,,,
275,,,,,118132,,,,118132,118132,,,,,,,,
276,,,,,81112,,81112,81112,,,,,,81112,,,,
277,,,,,111502,,111502,,111502,,,,,,,,,
278,,,,,151610,,,151610,,,,,,,,,,151610
279,,,,,,,,,95128,,,,,,,,,
280,,,,136733,,,,,136733,,,,,136733,,,136733,
281,,,,69822,,,,69822,,,,69822,69822,,,,,
282,,88380,,,,,,,,,,88380,,,,,,
283,,,,199482,,,,,,199482,199482,,,,199482,,,
284,,,,,,56268,56268,,,,,,,,,,,56268
285,,,142301,,,,,,,,,,,,,,,
286,,,,,,,,,,,,178371,,,,178371,178371,
287,,,,,,,,,157412,,157412,,,157412,,,157412,
288,,,250562,,250562,250562,,,,,,,,,250562,,,250562
289,167401,,,,,,,,,167401,,,,,167401,,167401,
290,,,,,85328,,,,85328,,,,,85328,,85328,,
291,,,,94160,,,,,,,,,,94160,,94160,94160,
292,,,,,,147732,,,,,,,,147732,,,,
293,,,,,50749,,,,50749,,,,,50749,50749,,,
294,222223,,,,,222223,,,,,,,,,222223,,,
295,,,,,,,,,47958,,,,,47958,47958,,,
296,,,,,,,,,,,,,52877,52877,52877,,,
297,138782,,,,138782,,,,,,138782,,,,,,,
298,,,,66150,,,66150,,,,,,,66150,,,,
299,,,,,178470,,,,178470,,178470,178470,,,,,,178470
300,,62936,,,,,,,,,,,,62936,,,,
301,,,,,,,,,159003,,,,159003,,,,,
302,,98694,,,,,98694,,,,,98694,98694,,,,,
303,,,,,,,,50471,,,,,,,50471,,,
304,,,,,,,,104460,,,,,,104460,,,,
305,63711,,63711,,,,,63711,,,63711,,,,63711,,,
306,,,,,,,,64384,,,,64384,,,64384,,,
307,223296,,,,223296,,,,,,,223296,,,223296,,,
308,,,,73372,,73372,,,73372,,,,,,,,,
309,,,,,,92458,,92458,,,,92458,,,,,,
310,,,,,80483,,,,,,,80483,,80483,,,,80483
311,,71730,,71730,,,,,,71730,,,,,,,,
312,,,,,186565,,,,,,,,186565,,,,,
313,,,,,114225,,,,,114225,114225,,,114225,,,,
314,,,,,160286,,,,,,,,,160286,,,,
315,,,,,,,,,,,,60957,,,,60957,,60957
316,,,,,,,90148,,90148,,,,,,,,,90148
317,,,,,,,,,,105723,,105723,,105723,,,,
318,,,388754,,,,,,,,,388754,,,,,,
319,,,,,45129,,,45129,,,45129,,,,,,,
320,,,,,,,68001,,,,,68001,,,,,68001,68001
321,,,,51736,,,,,,,,,,51736,,51736,,51736
322,112035,,,,,,,,,,,112035,,,,,,112035
323,,,,,,,,,,,,,55619,,55619,,,
324,,,,,,,,,,,,56796,,,,,56796,56796
325,,61808,,,,,,,,,61808,,,61808,,,,
326,,,,,78751,,78751,,,,78751,,,78751,,,,
327,,,238449,,238449,,,,,,,,,,238449,,,
328,,81908,,,,,,,,,81908,,,,,,,
329,,,,,,,,,,,,79556,,,79556,,,
330,,,,70609,,,,,,,70609,,,70609,,,,
331,,,,,,,,,,100354,,,,100354,,,100354,
332,,,,,,,62606,62606,,,,,,,,,,
333,,,,,,,44279,44279,,,,,,,,,44279,
334,,,,,36995,,,,,,,,,,,,,
335,193149,,,,,,,,,,193149,,,193149,,193149,,
336,,,,,,,,88722,,,,,88722,,,,,88722
337,145098,145098,,,145098,,,,,,,,,,,,,145098
338,,,,,83381,,,,,,,,,,,,,
339,,46591,,,,,,,,,,46591,,,,,,
340,,,,,,,,,,,99604,,,,,,,
341,,,,,,,,,,,,,,,,262339,262339,
342,58899,,,,58899,,,58899,,58899,,,,,,,,
343,,,,109939,,,,,,109939,109939,,,109939,,,109939,
344,,,32587,,,,,,,,,,,,32587,,,
345,102069,,,102069,,,,,,,,102069,,,102069,,,
346,153376,153376,,,,,,,,,,,,,,,153376,
347,,,,,,92574,,,,,,,,92574,92574,,,
348,92858,,92858,,,,,,92858,,,,,,,,,
349,,,84172,,84172,,,,,,,,,,,,,
350,,,,66601,,,,,,,,,66601,,66601,,,
351,,,,,,,,,,,,,,,,99818,,
352,,,,96240,,,96240,,,,96240,,,,,,,
353,,,,,,,,,,,72389,,,,,,72389,
354,,118570,,,,118570,,,,,,118570,,,,,,
355,,,,,,,,,,,,56276,,,,,,56276
356,,93369,,,,,,,,93369,,,,,93369,,,
357,,115634,,,,115634,,,,,,,,,,115634,,
358,,,,,,,,,,,,,,215782,,,215782,
359,,,,,110858,110858,110858,,,,110858,,,,,,,
360,,,,,,,,77926,,,,,,77926,,,,
361,,,,115976,,,,,,,,,,115976,,,,
362,,,,,,,,71134,,,,,,,,,,71134
363,,,,,63231,,,,,,,,,,,63231,,
364,96419,,96419,,,,,,,,,,,,96419,,,
365,,,221235,,,,,221235,,,,221235,,,,221235,221235,
366,,,213785,,213785,,213785,,,,,,,213785,,,,
367,,,,,,59378,,,,,59378,,,,59378,,,
368,,,,,,,61374,,61374,,,,,,,,,
369,,,,,,,,77579,77579,,,77579,,,,,,
370,,,,,,,61122,,,,,,,,,,61122,
371,,,,53318,,,53318,,,,,53318,,,,,,53318
372,,,,,,182747,,,,,,,182747,,,,,
373,,,138496,,138496,138496,,138496,,,,,,138496,,,,
374,,,,,,,79744,,79744,,79744,,,79744,,,,
375,,,133437,,,133437,,,133437,,,,,,,,,
376,,,,,,,,,,,90174,,,,,,90174,
377,,,,,,,,87820,,,87820,,,,87820,,,
378,66990,,,,,,66990,,,,,66990,,66990,66990,,,
379,,,122069,,,,,,,,,,,122069,,,,
380,,,,56318,,56318,,,,,,,,,,56318,,
381,,45830,,,,,,,,,,45830,,,,,,
382,,,,,,,,,,,,,,70207,70207,70207,,
383,,,,84101,,,,84101,,,,,,,,,,
384,,,,,57591,,,57591,,,57591,,,57591,,,,57591
385,,,,,,45158,45158,,,,,,,,,,45158,
386,,,,,,,132585,,,,,,132585,,,132585,,
387,,,,99055,,,,,,,99055,,,,99055,,,
388,,,,,212847,,,,,,,,,,212847,,,
389,,,,,,,,135102,,,,,,,,,135102,
390,,,,,,,,,,,,63685,,,,,,63685
391,,,,,,,122593,,,122593,,,,,122593,,,122593
392,,,,,,,,,,,,,,,107056,,,
393,,,,53318,,53318,,,,,,,,,,,,
394,,,,90704,,,90704,,,,,,,,,,90704,
395,,,,,125671,,,,125671,125671,,125671,,,,125671,,
396,,,,,62031,,,,62031,,,,,,,,,
397,,,,171375,,,,,,,171375,171375,,171375,,,,171375
398,,,,,,69220,,,,,69220,,,,69220,,,69220
399,,,,,,,,80383,,,,,,,,,,80383
400,,175527,,,,175527,,,,,,,,,,,175527,
401,,,,,,,141125,,,,141125,,,,,,,
402,,305621,305621,,,,305621,,305621,,,,,,,,,
403,,,,,,,,,,,187599,,187599,187599,,,,
404,,,,33959,,,,,33959,,,,,,,,,
405,229855,,,,,229855,,,,,,,,229855,,,229855,
406,,,,,,,,,,,,,,85361,,,,85361
407,,,,,,,80376,,,,,,80376,,,,80376,
408,,,,,45147,,,,,,,45147,,,,,,
409,,,,46236,,,,,,,46236,,,,46236,,46236,
410,,,,72594,72594,,72594,,,,72594,,,,,,,
411,,,,,119767,,,,,,,119767,,,,,,
412,,,,,,,,,,,141385,,,141385,,141385,,
413,,231393,,231393,,,231393,,,,231393,,,,,,231393,
414,,,,,,,,,,58405,,58405,,,58405,,,
415,,,60440,,,,,,60440,60440,,60440,,,,60440,,
416,,,,,,,195647,,,,,,,195647,,,,
417,298418,,,,,,,,298418,,,298418,,,,,,298418
418,,,,,,,,182777,,,182777,,,,,182777,,
419,,,,,,,,,,87006,,87006,87006,,,,,
420,69827,,,69827,,,,,,,69827,,,69827,,,,
421,,,,206945,,,206945,,,,,206945,,,,,,206945
422,,99795,,,,99795,,,,,,,,,,,,
423,,,,,114667,,,,,,,114667,,114667,,,,114667
424,,,,,,128576,,,,,128576,,,,,,,
425,,,,60097,,60097,,,,,,,,,,60097,,
426,,,,101978,,,101978,,101978,,,,,101978,,,,
427,,,,,,,353726,353726,,,,,,,353726,,,
428,,,,,,,,95186,,,95186,,,,,,,
429,,,,133855,,,,,,,,133855,133855,133855,,,,
430,,,,,,,,,162221,,,,162221,,,,162221,
431,,,124709,,,,,,,,124709,124709,,,,,,124709
432,,,,58778,,,,58778,,,58778,,,,,,,
433,,,,,,,59227,,,,59227,,,,,,,59227
434,191741,,,,,,,,,,,,191741,191741,,,,191741
435,,,,,,125762,,,,125762,,,125762,,,125762,,125762
436,,,,,,100678,,,,,,,100678,,,,,
437,117568,,117568,,,,,,,,,117568,,,,117568,,
438,,,,,,,,,,134632,,134632,,,134632,,,
439,,,,,,,,,,106560,106560,,,,,,,
440,94044,,94044,,,,,,,,,,,,,,,94044
441,,,,,79076,,79076,,,,79076,,,79076,,,,
442,,198743,,,198743,,198743,,,,,,,,,,,
443,,,,,,,97175,,,,,,97175,,,,,
444,,,,,,,64832,64832,,,,64832,,,,,,
445,,,,,,143835,,143835,,,,143835,,,,,,143835
446,,,,,,181246,,,,,,181246,,,,,181246,181246
447,,,46950,46950,46950,,,,,,,,,46950,46950,,,
448,84808,,,,,84808,84808,,,,,,,,,,,
449,153304,,,,153304,,,,,,,153304,,,,,,
450,,,,,,,,,,,,187668,,,,,,
451,,,,,,,72769,72769,,,,72769,,,,,,72769
452,,,222757,,222757,,,,222757,,,,,,,,,
453,,,,,,,,,,160302,,,,160302,160302,,,
454,,,,,,,,,,,78913,78913,,,78913,,,
455,,,,,,,,,,226519,,,,,,,,
456,,,,,,,175559,,175559,,,,,175559,,,,
457,,141569,141569,,,,,141569,,,,,,,,141569,,
458,,,,,,,,164894,,164894,,,,,164894,,,
459,,,,,,88878,,,,88878,,,,,,,,
460,,101624,,,101624,,,,,101624,,101624,,,,,,101624
461,,,,,,,,,,,,84728,,,84728,,,84728
462,,97260,,,,,,,,,,,,,97260,,,
463,69936,,,,,,,69936,,,,,69936,,,69936,,
464,,75400,75400,,,,,,75400,,,,,,,,,
465,,,,,,,,,,,107195,,,,,,107195,
466,,,,,,75537,,,,,75537,,,,75537,,,
467,,109409,,,,,109409,,,,,,,,109409,109409,,
468,,,,,,,49641,,49641,,,,,49641,,,,
469,,,,,60830,,60830,,,,60830,60830,,,,,,
470,48516,,,,,,48516,,,48516,,,,48516,,,,
471,,,,98740,,,,98740,,,,,,,,98740,,98740
472,,,,,109279,,,,,,,,,109279,,,,
473,,,,,,,,,,,,,,103692,,,,
474,,110492,,,,,110492,,,,,,110492,,,,110492,
475,,,,,,,,,,,226973,226973,226973,226973,,,,
476,,,,171987,,,,171987,,,171987,,171987,171987,,,,
477,,,,173054,173054,,,,173054,,,,,,,,,
478,,,,,,73669,,,,,73669,,,73669,,,73669,
479,,,,,98984,,,,,,98984,98984,,,,,,
480,101933,,,,,,101933,,,,101933,,,,,,101933,
481,,,,,,,,,,107603,107603,,,,,,107603,
482,,,,,,,,116150,,,116150,,,,,,,
483,,,,,,170702,,,,170702,,,,170702,,,,170702
484,,,,,,,149281,,,149281,,,,,,149281,,149281
485,,,,,43707,,43707,,,,,43707,,,,,,43707
486,,,,,,,,,,,,,85131,85131,,85131,,
487,,,,,85625,,,85625,,,85625,,,,,,,
488,,127955,,127955,127955,,,127955,,,,,,,,,,
489,,,,53707,,,,,,,,53707,,53707,53707,,,
490,,,152266,,,,152266,152266,,,,,,,,,,
491,,,,,,,,104315,,104315,,104315,,,,,,
492,,49234,,,,,,,,,49234,49234,,,,,,49234
493,,,,,,,,,,104397,,104397,,,,,,
494,,,,117198,117198,,,,,,,,117198,,,,,
495,,,,,,,,,,,,,,,,63395,,
496,,,,,,,77545,,,77545,,,77545,77545,77545,,,
497,,,,,,,,,,,161796,,,,161796,161796,,161796
498,,217701,,217701,,,,,,,217701,,,,,,,
499,,,,,,,,,128702,,,,,,,,,
500,,,,63866,,,,,,,,63866,,,,,,
501,,,,171813,,,,,,,171813,,,,,,171813,
502,,,,138694,,,,,,,,138694,,,,,,138694
503,,,,130454,,,,130454,130454,,,,,,,,,
504,,,,,145190,,,,,145190,145190,,,,,145190,,
505,,,,,47965,,,,,,,47965,,,,,,47965
506,,,,,,,,,,,61289,61289,61289,,,,,
507,,,73637,,,,73637,,,,,,,,,,,
508,,,,64826,,,64826,,,,,,,64826,64826,,,
509,,,,,,,,146600,,,,146600,,,,,,146600
510,,,,,172271,,,172271,,,,,172271,,172271,,,
511,,,,,,,,156725,,156725,,,,,,,,
512,,94680,,,94680,94680,,,,,94680,,,,,,,94680
513,,,,,92035,,,,,,,,,,,,,92035
514,,,,,,,,,77042,,,77042,,,,,,77042
515,,,,,,272652,272652,272652,,272652,,,,,,,272652,
516,,,,,,,,,,,117510,,,,,,117510,
517,,,,,80985,,,,,,,,,,,,,
518,,,,,61352,,,,,61352,,61352,,,,,,
519,,,77636,,,,,,,,,,,77636,,,77636,
520,,,,,,,,,,,,214326,,214326,,214326,,
521,,,,,,,71473,71473,,,,,71473,,,,,71473
522,48920,,48920,,,,48920,,,,48920,,,,,,,
523,,,,,,,,,63273,,,,,63273,,,,
524,,,,134087,,,,,,,,134087,,,134087,134087,,134087
525,,,,,142446,,,142446,,,,142446,,,,,,
526,,,,,159755,,,,159755,,159755,,,,,,,
527,,,,,,188034,188034,,,188034,,188034,,,,188034,,
