ID_cleaned,is_AWS_required_skills,is_Azure_required_skills,is_Docker_required_skills,is_GCP_required_skills,is_git_required_skills,is_Hadoop_required_skills,is_Java_required_skills,is_Kubernetes_required_skills,is_MLOps_required_skills,is_MLP_required_skills,is_PyTorch_required_skills,is_Python_required_skills,is_R_required_skills,is_SQL_required_skills,is_Scala_required_skills,is_Pyspark_required_skills,is_Tableau_required_skills,is_TensorFlow_required_skills
30,,Azure,,,,,,Kubernetes,,,,Python,,,,,,TensorFlow
31,AWS,,,GCP,,,,,,,,,,,,,Tableau,
32,,Azure,,,,,,,,,,Python,,,,PySpark,,
33,,,,,,,,,,MLP,,Python,,,Scala,,,
34,,Azure,,GCP,,,,,,,,Python,,,,,Tableau,
35,,,,GCP,,,,,MLOps,,,,R,,,,,
36,,,,,Git,Hadoop,,,,,,,,,,,,
37,AWS,,,,,,,,,,,Python,,,,,Tableau,
38,,,,,,,,,,,PyTorch,,,SQL,,,,
39,,,Docker,GCP,,,,,,,,,,,,,Tableau,
40,,Azure,,,,,,,,,,,,,,,Tableau,
41,,Azure,,,,,,,MLOps,,,,,,,PySpark,,
42,,,,,,,Java,,,,,,,SQL,,,,
43,,,,GCP,,,,,,,,,,,,PySpark,,
44,,Azure,Docker,,,Hadoop,,,,,,Python,,,,,,
45,,,Docker,,,,,,,,,,R,,,,,
46,,,,,,,,,,,,,R,,,,,
47,,,,,,,Java,,,,,,,,Scala,,Tableau,
48,,Azure,,GCP,,,Java,,,,,,,,,,,
49,,,,,Git,,Java,,,,,,,,,,,
50,AWS,,Docker,,,Hadoop,,,,,,,,,,,,
51,,,,,,,,,,,,,,SQL,,,,
52,,Azure,,,Git,,,,,,,,R,,,,,
53,,,Docker,,,,,,,,,,,,,,Tableau,
54,,,,,,,,Kubernetes,,,PyTorch,,R,,,,,
55,AWS,,,,,,,,,,,Python,,,,,Tableau,TensorFlow
56,,Azure,,,,,,Kubernetes,,,,,,,,PySpark,,TensorFlow
57,,,Docker,GCP,,,,,,,,Python,,,Scala,,,
58,,,,,Git,,,,,,,Python,,,,,,TensorFlow
59,,,,,,,,,,,PyTorch,,R,,,,,
60,AWS,,,,,,,,,,,,R,,,PySpark,,
61,,Azure,,,,,,,,MLP,PyTorch,,,,,,Tableau,
62,,Azure,,,,,,,,,,,,,,,,TensorFlow
63,,,Docker,,,,,,,,,,,,Scala,,,TensorFlow
64,,Azure,,,,,Java,,,MLP,,,R,,,,,
65,,,,,Git,,Java,,,,,,,,,,,
66,AWS,,,,,,,,,,,Python,,,,PySpark,,
67,,,,,,,Java,,MLOps,,PyTorch,,,SQL,,,,
68,,,,,Git,,,,,,,Python,,,Scala,,,
69,,Azure,,,,Hadoop,,Kubernetes,,,,Python,,,,,,
70,,,,,Git,,,Kubernetes,MLOps,,,Python,,,,,,
71,,Azure,,,,,,Kubernetes,,,,,,,,,,
72,,,,,Git,,,Kubernetes,,,PyTorch,,,SQL,,,,
73,,Azure,,,,,,,,MLP,,,,,,PySpark,,
74,,,,,,,,,,,,,R,,,,Tableau,
75,,,,,,,,,,,,,R,,Scala,,Tableau,
76,,,,,,,,Kubernetes,,,,,,,,PySpark,,
77,,,,,,,,Kubernetes,,,,,,,Scala,PySpark,,
78,,,,,,,,,MLOps,,,,,SQL,,,,
79,,,,,,,,,MLOps,MLP,,,,,Scala,,,
80,,,,,,,,,,,PyTorch,,,SQL,,,,
81,,,,,Git,,Java,Kubernetes,,,,,R,,,,,TensorFlow
82,,,Docker,,,,,,MLOps,,,,R,SQL,,,Tableau,
83,,Azure,,,,,,,,MLP,,,,,,PySpark,,
84,,Azure,,,,,Java,,,,,,,SQL,,PySpark,Tableau,
85,,,Docker,,Git,,Java,Kubernetes,,,,Python,,,,,,
86,,,,,Git,Hadoop,,,MLOps,,,Python,,,,PySpark,,
87,,,Docker,,,,,Kubernetes,,,,,,SQL,,,,
88,,,,GCP,,,,,,MLP,,,R,SQL,,,,
89,,,,,,,,,,,,Python,,SQL,,PySpark,,
90,,,,,,Hadoop,,,,,PyTorch,,,,Scala,,,
91,,,,,,Hadoop,,Kubernetes,,,,Python,,,,PySpark,,
92,,,,,,Hadoop,,,,,,Python,R,,,,,TensorFlow
93,,,,GCP,,,,,,,PyTorch,,,,,,,
94,,,,,,Hadoop,Java,,,,,,,,,,,
95,,,,,Git,,,,,MLP,PyTorch,,R,,,,,
96,,,,,Git,,,,,,PyTorch,Python,,,,,,TensorFlow
97,,,,,,,Java,Kubernetes,,,,,,,Scala,,,
98,,,,,,,,,,,,,,,,,,TensorFlow
99,AWS,,,,,,,Kubernetes,,,,Python,,,,,,
100,,,Docker,,,,,Kubernetes,MLOps,,,,,,,,,
101,,,,,Git,,Java,,,,,,,,Scala,,,
102,AWS,Azure,,GCP,,Hadoop,,,,,PyTorch,,,,,,,
103,,,,,,,,,,,PyTorch,,,SQL,,PySpark,,TensorFlow
104,,,,,,,,,,,,Python,,SQL,,,,
105,,,,GCP,,,,,,,PyTorch,,,,,PySpark,,TensorFlow
106,,,,,Git,,,,,,PyTorch,,,SQL,,,,
107,,,,,,,,,,,PyTorch,,,,,PySpark,,TensorFlow
108,,,,,Git,,,,,MLP,,,,SQL,,,,TensorFlow
109,,,,,Git,,Java,,,,,,R,,,PySpark,,
110,,,Docker,GCP,,,,,,,PyTorch,,,,,,,
111,AWS,,,,Git,Hadoop,,,,,,,,,,,,
112,,,,,,Hadoop,,,,,,,,SQL,,,,TensorFlow
113,,,,,,,,,,,,Python,,SQL,Scala,,,
114,,,,,,,,,,MLP,,,R,,,,,
115,,Azure,,,,,,,MLOps,,,,R,,,,,
116,AWS,,Docker,,,,,,,,,,R,,,,,
117,,Azure,,,,,,Kubernetes,,,,,,SQL,,,,
118,AWS,,,,,,,,MLOps,,PyTorch,,,SQL,,,,TensorFlow
119,,,,,Git,,,,MLOps,,,,R,,,,,
120,,,,,Git,,,,,,,,,SQL,Scala,,,
121,,,,GCP,Git,,,Kubernetes,,,,,,,,,,
122,,,,,Git,,,,,,,Python,,SQL,Scala,,,
123,,,,,,,Java,,,,,Python,,,,,Tableau,
124,AWS,Azure,Docker,,Git,,,,,,,,,,,,,
125,,,,,,,,,,,PyTorch,,,,Scala,,Tableau,
126,,,Docker,,Git,,,Kubernetes,,,,,,SQL,,,,
127,,,,,,,,,,,,Python,R,,,,,TensorFlow
128,,Azure,,,,,,Kubernetes,,,,,,,,PySpark,,TensorFlow
129,,Azure,,GCP,,,,,,,PyTorch,,R,,,,,
130,,,,,,,Java,,,,,Python,,,,PySpark,,
131,,,,,,,,,,,,,R,,,PySpark,,
132,,,,,,,,,,,PyTorch,Python,,,,,,TensorFlow
133,,,,,,,,,,,,Python,,SQL,,,,
134,,Azure,,,,Hadoop,,,,,,Python,R,,,,,
135,,Azure,,GCP,,,,,,,,Python,,SQL,,,,
136,,,,,,Hadoop,Java,,,,,,,,,,,
137,,,,,,,Java,,,,PyTorch,,,SQL,,,,
138,,,,,Git,Hadoop,,,,,,Python,,,,,,TensorFlow
139,,,,,,,,Kubernetes,MLOps,,PyTorch,,,,,,,
140,AWS,,,,,,,,,,,,,,,,,
141,,,,,,Hadoop,,,,,PyTorch,Python,,,,,,TensorFlow
142,,,,GCP,,,,Kubernetes,,,,,,SQL,,,,
143,,,,,,,,,MLOps,,,Python,,SQL,,,,
144,,,,,,Hadoop,,,,,,Python,,,,,,
145,,,,GCP,,Hadoop,,,,,,,R,,,,,
146,,Azure,,,Git,,,,,,,Python,,,,,,TensorFlow
147,,,,,,,,Kubernetes,,,PyTorch,,,,,,,
148,,,,GCP,,,,,MLOps,,,,,SQL,,,,
149,,,,GCP,Git,,,,,,,Python,,,,,,
150,,,,,,,,Kubernetes,,,,,,,,,,TensorFlow
151,,,,,,,,,,,PyTorch,,,,,,,TensorFlow
152,,,,,Git,Hadoop,,,,,,,,,,,Tableau,
153,,,,,,,,,,,,,R,SQL,,,,
154,,,Docker,,,,,,,,,Python,,,Scala,,,
155,,,,GCP,,,,,,,,Python,,,,,,TensorFlow
156,,,Docker,,,,,,,,,,R,,,,,
157,,Azure,,,Git,,,,,,,,,,,PySpark,,
158,,,,,,,Java,Kubernetes,,MLP,,Python,,SQL,,,,
159,,,,,,Hadoop,,,,,,,,,,,,
160,AWS,,,GCP,,,,,,,,,,,Scala,,,
161,,,,,,,,,,,,,,SQL,Scala,,,
162,,,,GCP,,,,,,,,,,SQL,,,Tableau,
163,,,,,,,,,,MLP,,Python,,,,,,
164,AWS,,,,Git,,,,,,,,R,,,,Tableau,
165,,,,,,Hadoop,,,,,,Python,,,,PySpark,,
166,,Azure,Docker,GCP,,,,,,,,,,,,,,TensorFlow
167,AWS,,Docker,,,,,,,,,,,,,PySpark,,TensorFlow
168,,Azure,,,,,,Kubernetes,,,,,,,,,,
169,,,,,,,Java,,,MLP,,,,,,,Tableau,
170,AWS,,,,,,,,,,,,,,,PySpark,,
171,,,,,,,Java,,,,,,,,Scala,,,TensorFlow
172,,,Docker,,,Hadoop,,,,,PyTorch,,,,Scala,,,
173,,,,GCP,,,,,,,,Python,,,,,Tableau,
174,,,,GCP,,,Java,,,,,Python,,,,,,TensorFlow
175,,,,,,,,,,,,Python,,,,,,TensorFlow
176,,Azure,,,,Hadoop,,,,,,,,,Scala,,,
177,,Azure,,,Git,,,,,,,,,,,PySpark,,
178,,,,GCP,Git,,,Kubernetes,,MLP,,,,,,,,
179,,,,,,,,Kubernetes,,,,Python,,,Scala,,,
180,,Azure,,,,,,,,,,Python,,,,,,
181,AWS,,,,,,Java,,,,PyTorch,,,,,,,
182,,,,,,,,,,,,Python,,,,PySpark,,TensorFlow
183,,,Docker,GCP,,,,,,,,,,SQL,,,,
184,,Azure,,,,,,,MLOps,MLP,PyTorch,,,,,,,
185,,Azure,Docker,,,,,,,MLP,,,,,,,,
186,,,,,,,,,,,,Python,R,,,,,TensorFlow
187,,,,,,,,,,MLP,PyTorch,,,SQL,,,,
188,,,,,,,Java,,,,,Python,,,,,,
189,,,Docker,,,,,,,,,,,,,,,
190,,Azure,,,,,,,,MLP,,,R,,Scala,,,
191,AWS,,,,,,,,,,,Python,,,Scala,,,TensorFlow
192,,,,,Git,,Java,Kubernetes,,,PyTorch,,,SQL,,,,
193,,,,,,,Java,,,,,Python,,,,,,
194,,,Docker,,,,Java,,,MLP,,,R,,,,,TensorFlow
195,,,,,,,Java,,,,,,,,Scala,,Tableau,
196,,,,GCP,,,,,,,,,,,,,,TensorFlow
197,,Azure,,,,,,,,,PyTorch,Python,,,,,,TensorFlow
198,,,,,,,,,MLOps,MLP,,Python,,,,,,
199,,,,,,,Java,Kubernetes,,,,,,,,PySpark,,
200,,,,,,,,Kubernetes,,,,,,SQL,,,,TensorFlow
201,AWS,,,,,,Java,,MLOps,MLP,PyTorch,,,,,,,
202,,,,,,,,,,,,Python,,,,,,TensorFlow
203,,Azure,,,Git,,,,,,PyTorch,,,SQL,,,,TensorFlow
204,,,,GCP,,,,,,,,,,SQL,Scala,,,
205,,,Docker,,,,,,,,,,,,Scala,,,
206,,,,,,,,Kubernetes,,,,,,,,PySpark,,
207,,,,,Git,,,,,,,Python,,SQL,,,,
208,,,Docker,GCP,Git,,Java,,,,,Python,,,,,,
209,,,,,,Hadoop,,,,,,,,,,,Tableau,
210,,,,,,,,,,MLP,,Python,,,,,,
211,,,Docker,,,Hadoop,Java,,,,,,,,,,,
212,,,,,,,,Kubernetes,,,,Python,,,,,,TensorFlow
213,,,,GCP,,,,,MLOps,,,Python,,,,,,
214,AWS,,,,,,,,MLOps,,,,R,SQL,,,,
215,,Azure,,,,,,,,,,Python,,,,,,TensorFlow
216,,Azure,,GCP,,,,,,,,,,SQL,,PySpark,,
217,,,,,Git,Hadoop,,,MLOps,,,,,,,,,TensorFlow
218,,,Docker,GCP,,,Java,,,,,,R,,,,,
219,AWS,,,,,,,,MLOps,,PyTorch,,,,,,,
220,,,,,,Hadoop,,,,,,Python,,,Scala,,,
221,,,,,,,,Kubernetes,,,PyTorch,,,SQL,,,,
222,,,,,,,,,MLOps,,,,,SQL,,PySpark,Tableau,
223,,,,,,Hadoop,,Kubernetes,,MLP,,,,,Scala,,,
224,,,,,,,,,,,,,R,SQL,Scala,,,
225,,,Docker,,,,Java,,MLOps,,,Python,,,,,,
226,,,,,,,,,,MLP,,Python,,SQL,,,,
227,,,,GCP,,Hadoop,,,,,,,,,,,,
228,,,,,,Hadoop,,,,,,Python,,,,,,
229,,,,,,,,Kubernetes,MLOps,,,,,,,,Tableau,
230,,,Docker,,,,,,,MLP,PyTorch,,,,,PySpark,,TensorFlow
231,AWS,,,,,,Java,,,,PyTorch,,,,,,Tableau,
232,,Azure,,,,,,,,,,Python,,,,,,
233,,,,,,Hadoop,,,,,,,,,,,,TensorFlow
234,,Azure,,,,Hadoop,,,,,,,,,,,Tableau,TensorFlow
235,,,,GCP,,,,Kubernetes,,MLP,,,,SQL,,,Tableau,
236,,,,,,,,,,,,Python,,,Scala,,,
237,,,,,,Hadoop,,Kubernetes,,,,,,,Scala,PySpark,,
238,,,Docker,,,,,Kubernetes,,,,,,,,,,TensorFlow
239,,,,,Git,,,,,,,Python,,,Scala,,,
240,,,,,,Hadoop,,,,,,Python,R,,,PySpark,Tableau,
241,,,,,,,Java,Kubernetes,MLOps,,,,,SQL,,,,TensorFlow
242,,Azure,,,,Hadoop,Java,,MLOps,,,,,,,,,
243,,,Docker,,Git,,,,,,,,,,,,,
244,,,,,Git,Hadoop,,,,,,,,,,PySpark,,
245,,,,,,,,,,,PyTorch,Python,,,,PySpark,,
246,,Azure,,,,,,,MLOps,,,,R,,,,,
247,,,,,Git,Hadoop,Java,,,,,,,,,,,
248,,,,GCP,,,,,,,,,,SQL,,,,TensorFlow
249,,Azure,,,,,Java,,,,,Python,,,,,Tableau,
250,,,,,Git,,,,,MLP,,Python,,,Scala,,,
251,,,,,,,,,MLOps,,PyTorch,Python,,SQL,,,,
252,,,,,,,,,MLOps,,,Python,,SQL,,,Tableau,
253,,,Docker,,,Hadoop,Java,,,,,Python,,,,,,TensorFlow
254,,,,,,,Java,Kubernetes,,,PyTorch,,,,,,,
255,,Azure,,,,,,,,MLP,PyTorch,,,,,,,TensorFlow
256,,,,GCP,,,Java,,,,,,,,,PySpark,,
257,,,,GCP,,,,,,,,Python,,SQL,,,,
258,,,,GCP,,,,,,,,Python,,,Scala,,,
259,,Azure,,GCP,,,,,,,,Python,,,Scala,,,
260,,,,,,,,,,,PyTorch,,,,,PySpark,,TensorFlow
261,,,,,,,,,,,,Python,R,,,,,TensorFlow
262,,,,,,,,,,,,Python,,SQL,Scala,,,
263,AWS,,,GCP,,,Java,,,,,,,,,PySpark,,
264,,,,,,,,,,,,,,,,,,
265,AWS,,,,,,,,,,,,,,Scala,PySpark,,
266,,,,GCP,,,,,MLOps,,,Python,,,Scala,,,
267,,,,,,,,,MLOps,,,Python,,,Scala,,,
268,,,,,Git,,,,,,,Python,R,,,PySpark,,
269,,,,,,,Java,Kubernetes,,,,,,,,,Tableau,
270,,,Docker,,,Hadoop,Java,,,,PyTorch,Python,,,,,,
271,,,,,,,,,,,,Python,R,,,,,
272,,,,,,,,,MLOps,,,Python,,,,,,
273,AWS,,,,,,,,,,,,R,,,,,
274,,Azure,Docker,,Git,,,,,MLP,,,,SQL,,,,
275,,,,,Git,,,,MLOps,MLP,,,,,,,,
276,,,,,Git,,Java,Kubernetes,,,,,,SQL,,,,
277,,,,,Git,,Java,,MLOps,,,,,,,,,
278,,,,,Git,,,Kubernetes,,,,,,,,,,TensorFlow
279,,,,,,,,,MLOps,,,,,,,,,
280,,,,GCP,,,,,MLOps,,,,,SQL,,,Tableau,
281,,,,GCP,,,,Kubernetes,,,,Python,R,,,,,
282,,Azure,,,,,,,,,,Python,,,,,,
283,,,,GCP,,,,,,MLP,PyTorch,,,,Scala,,,
284,,,,,,Hadoop,Java,,,,,,,,,,,TensorFlow
285,,,Docker,,,,,,,,,,,,,,,
286,,,,,,,,,,,,Python,,,,PySpark,Tableau,
287,,,,,,,,,MLOps,,PyTorch,,,SQL,,,Tableau,
288,,,Docker,,Git,Hadoop,,,,,,,,,Scala,,,TensorFlow
289,AWS,,,,,,,,,MLP,,,,,Scala,,Tableau,
290,,,,,Git,,,,MLOps,,,,,SQL,,PySpark,,
291,,,,GCP,,,,,,,,,,SQL,,PySpark,Tableau,
292,,,,,,Hadoop,,,,,,,,SQL,,,,
293,,,,,Git,,,,MLOps,,,,,SQL,Scala,,,
294,AWS,,,,,Hadoop,,,,,,,,,Scala,,,
295,,,,,,,,,MLOps,,,,,SQL,Scala,,,
296,,,,,,,,,,,,,R,SQL,Scala,,,
297,AWS,,,,Git,,,,,,PyTorch,,,,,,,
298,,,,GCP,,,Java,,,,,,,SQL,,,,
299,,,,,Git,,,,MLOps,,PyTorch,Python,,,,,,TensorFlow
300,,Azure,,,,,,,,,,,,SQL,,,,
301,,,,,,,,,MLOps,,,,R,,,,,
302,,Azure,,,,,Java,,,,,Python,R,,,,,
303,,,,,,,,Kubernetes,,,,,,,Scala,,,
304,,,,,,,,Kubernetes,,,,,,SQL,,,,
305,AWS,,Docker,,,,,Kubernetes,,,PyTorch,,,,Scala,,,
306,,,,,,,,Kubernetes,,,,Python,,,Scala,,,
307,AWS,,,,Git,,,,,,,Python,,,Scala,,,
308,,,,GCP,,Hadoop,,,MLOps,,,,,,,,,
309,,,,,,Hadoop,,Kubernetes,,,,Python,,,,,,
310,,,,,Git,,,,,,,Python,,SQL,,,,TensorFlow
311,,Azure,,GCP,,,,,,MLP,,,,,,,,
312,,,,,Git,,,,,,,,R,,,,,
313,,,,,Git,,,,,MLP,PyTorch,,,SQL,,,,
314,,,,,Git,,,,,,,,,SQL,,,,
315,,,,,,,,,,,,Python,,,,PySpark,,TensorFlow
316,,,,,,,Java,,MLOps,,,,,,,,,TensorFlow
317,,,,,,,,,,MLP,,Python,,SQL,,,,
318,,,Docker,,,,,,,,,Python,,,,,,
319,,,,,Git,,,Kubernetes,,,PyTorch,,,,,,,
320,,,,,,,Java,,,,,Python,,,,,Tableau,TensorFlow
321,,,,GCP,,,,,,,,,,SQL,,PySpark,,TensorFlow
322,AWS,,,,,,,,,,,Python,,,,,,TensorFlow
323,,,,,,,,,,,,,R,,Scala,,,
324,,,,,,,,,,,,Python,,,,,Tableau,TensorFlow
325,,Azure,,,,,,,,,PyTorch,,,SQL,,,,
326,,,,,Git,,Java,,,,PyTorch,,,SQL,,,,
327,,,Docker,,Git,,,,,,,,,,Scala,,,
328,,Azure,,,,,,,,,PyTorch,,,,,,,
329,,,,,,,,,,,,Python,,,Scala,,,
330,,,,GCP,,,,,,,PyTorch,,,SQL,,,,
331,,,,,,,,,,MLP,,,,SQL,,,Tableau,
332,,,,,,,Java,Kubernetes,,,,,,,,,,
333,,,,,,,Java,Kubernetes,,,,,,,,,Tableau,
334,,,,,Git,,,,,,,,,,,,,
335,AWS,,,,,,,,,,PyTorch,,,SQL,,PySpark,,
336,,,,,,,,Kubernetes,,,,,R,,,,,TensorFlow
337,AWS,Azure,,,Git,,,,,,,,,,,,,TensorFlow
338,,,,,Git,,,,,,,,,,,,,
339,,Azure,,,,,,,,,,Python,,,,,,
340,,,,,,,,,,,PyTorch,,,,,,,
341,,,,,,,,,,,,,,,,PySpark,Tableau,
342,AWS,,,,Git,,,Kubernetes,,MLP,,,,,,,,
343,,,,GCP,,,,,,MLP,PyTorch,,,SQL,,,Tableau,
344,,,Docker,,,,,,,,,,,,Scala,,,
345,AWS,,,GCP,,,,,,,,Python,,,Scala,,,
346,AWS,Azure,,,,,,,,,,,,,,,Tableau,
347,,,,,,Hadoop,,,,,,,,SQL,Scala,,,
348,AWS,,Docker,,,,,,MLOps,,,,,,,,,
349,,,Docker,,Git,,,,,,,,,,,,,
350,,,,GCP,,,,,,,,,R,,Scala,,,
351,,,,,,,,,,,,,,,,PySpark,,
352,,,,GCP,,,Java,,,,PyTorch,,,,,,,
353,,,,,,,,,,,PyTorch,,,,,,Tableau,
354,,Azure,,,,Hadoop,,,,,,Python,,,,,,
355,,,,,,,,,,,,Python,,,,,,TensorFlow
356,,Azure,,,,,,,,MLP,,,,,Scala,,,
357,,Azure,,,,Hadoop,,,,,,,,,,PySpark,,
358,,,,,,,,,,,,,,SQL,,,Tableau,
359,,,,,Git,Hadoop,Java,,,,PyTorch,,,,,,,
360,,,,,,,,Kubernetes,,,,,,SQL,,,,
361,,,,GCP,,,,,,,,,,SQL,,,,
362,,,,,,,,Kubernetes,,,,,,,,,,TensorFlow
363,,,,,Git,,,,,,,,,,,PySpark,,
364,AWS,,Docker,,,,,,,,,,,,Scala,,,
365,,,Docker,,,,,Kubernetes,,,,Python,,,,PySpark,Tableau,
366,,,Docker,,Git,,Java,,,,,,,SQL,,,,
367,,,,,,Hadoop,,,,,PyTorch,,,,Scala,,,
368,,,,,,,Java,,MLOps,,,,,,,,,
369,,,,,,,,Kubernetes,MLOps,,,Python,,,,,,
370,,,,,,,Java,,,,,,,,,,Tableau,
371,,,,GCP,,,Java,,,,,Python,,,,,,TensorFlow
372,,,,,,Hadoop,,,,,,,R,,,,,
373,,,Docker,,Git,Hadoop,,Kubernetes,,,,,,SQL,,,,
374,,,,,,,Java,,MLOps,,PyTorch,,,SQL,,,,
375,,,Docker,,,Hadoop,,,MLOps,,,,,,,,,
376,,,,,,,,,,,PyTorch,,,,,,Tableau,
377,,,,,,,,Kubernetes,,,PyTorch,,,,Scala,,,
378,AWS,,,,,,Java,,,,,Python,,SQL,Scala,,,
379,,,Docker,,,,,,,,,,,SQL,,,,
380,,,,GCP,,Hadoop,,,,,,,,,,PySpark,,
381,,Azure,,,,,,,,,,Python,,,,,,
382,,,,,,,,,,,,,,SQL,Scala,PySpark,,
383,,,,GCP,,,,Kubernetes,,,,,,,,,,
384,,,,,Git,,,Kubernetes,,,PyTorch,,,SQL,,,,TensorFlow
385,,,,,,Hadoop,Java,,,,,,,,,,Tableau,
386,,,,,,,Java,,,,,,R,,,PySpark,,
387,,,,GCP,,,,,,,PyTorch,,,,Scala,,,
388,,,,,Git,,,,,,,,,,Scala,,,
389,,,,,,,,Kubernetes,,,,,,,,,Tableau,
390,,,,,,,,,,,,Python,,,,,,TensorFlow
391,,,,,,,Java,,,MLP,,,,,Scala,,,TensorFlow
392,,,,,,,,,,,,,,,Scala,,,
393,,,,GCP,,Hadoop,,,,,,,,,,,,
394,,,,GCP,,,Java,,,,,,,,,,Tableau,
395,,,,,Git,,,,MLOps,MLP,,Python,,,,PySpark,,
396,,,,,Git,,,,MLOps,,,,,,,,,
397,,,,GCP,,,,,,,PyTorch,Python,,SQL,,,,TensorFlow
398,,,,,,Hadoop,,,,,PyTorch,,,,Scala,,,TensorFlow
399,,,,,,,,Kubernetes,,,,,,,,,,TensorFlow
400,,Azure,,,,Hadoop,,,,,,,,,,,Tableau,
401,,,,,,,Java,,,,PyTorch,,,,,,,
402,,Azure,Docker,,,,Java,,MLOps,,,,,,,,,
403,,,,,,,,,,,PyTorch,,R,SQL,,,,
404,,,,GCP,,,,,MLOps,,,,,,,,,
405,AWS,,,,,Hadoop,,,,,,,,SQL,,,Tableau,
406,,,,,,,,,,,,,,SQL,,,,TensorFlow
407,,,,,,,Java,,,,,,R,,,,Tableau,
408,,,,,Git,,,,,,,Python,,,,,,
409,,,,GCP,,,,,,,PyTorch,,,,Scala,,Tableau,
410,,,,GCP,Git,,Java,,,,PyTorch,,,,,,,
411,,,,,Git,,,,,,,Python,,,,,,
412,,,,,,,,,,,PyTorch,,,SQL,,PySpark,,
413,,Azure,,GCP,,,Java,,,,PyTorch,,,,,,Tableau,
414,,,,,,,,,,MLP,,Python,,,Scala,,,
415,,,Docker,,,,,,MLOps,MLP,,Python,,,,PySpark,,
416,,,,,,,Java,,,,,,,SQL,,,,
417,AWS,,,,,,,,MLOps,,,Python,,,,,,TensorFlow
418,,,,,,,,Kubernetes,,,PyTorch,,,,,PySpark,,
419,,,,,,,,,,MLP,,Python,R,,,,,
420,AWS,,,GCP,,,,,,,PyTorch,,,SQL,,,,
421,,,,GCP,,,Java,,,,,Python,,,,,,TensorFlow
422,,Azure,,,,Hadoop,,,,,,,,,,,,
423,,,,,Git,,,,,,,Python,,SQL,,,,TensorFlow
424,,,,,,Hadoop,,,,,PyTorch,,,,,,,
425,,,,GCP,,Hadoop,,,,,,,,,,PySpark,,
426,,,,GCP,,,Java,,MLOps,,,,,SQL,,,,
427,,,,,,,Java,Kubernetes,,,,,,,Scala,,,
428,,,,,,,,Kubernetes,,,PyTorch,,,,,,,
429,,,,GCP,,,,,,,,Python,R,SQL,,,,
430,,,,,,,,,MLOps,,,,R,,,,Tableau,
431,,,Docker,,,,,,,,PyTorch,Python,,,,,,TensorFlow
432,,,,GCP,,,,Kubernetes,,,PyTorch,,,,,,,
433,,,,,,,Java,,,,PyTorch,,,,,,,TensorFlow
434,AWS,,,,,,,,,,,,R,SQL,,,,TensorFlow
435,,,,,,Hadoop,,,,MLP,,,R,,,PySpark,,TensorFlow
436,,,,,,Hadoop,,,,,,,R,,,,,
437,AWS,,Docker,,,,,,,,,Python,,,,PySpark,,
438,,,,,,,,,,MLP,,Python,,,Scala,,,
439,,,,,,,,,,MLP,PyTorch,,,,,,,
440,AWS,,Docker,,,,,,,,,,,,,,,TensorFlow
441,,,,,Git,,Java,,,,PyTorch,,,SQL,,,,
442,,Azure,,,Git,,Java,,,,,,,,,,,
443,,,,,,,Java,,,,,,R,,,,,
444,,,,,,,Java,Kubernetes,,,,Python,,,,,,
