ID_cleaned,job_id,job_title,salary_usd,salary_distribution_usd,salary_currency,experience_level,experience_level_cleaned,employment_type,employment_type_cleaned,company_location,company_size,company_size_cleaned,employee_residence,remote_ratio,required_skills,is_AWS_required_skills,is_Azure_required_skills,is_Docker_required_skills,is_GCP_required_skills,is_github_required_skills,is_Hadoop_required_skills,is_Java_required_skills,is_Kubernetes_required_skills,is_MLOps_required_skills,is_NLP_required_skills,is_PyTorch_required_skills,is_Python_required_skills,is_R_required_skills,is_SQL_required_skills,is_Scala_required_skills,is_Pyspark_required_skills,is_Tableau_required_skills,is_TensorFlow_required_skills,education_required,years_experience,industry,posting_date,application_deadline,application_period_days,job_description_length,benefits_score,company_name
11,AI00011,Autonomous Systems Engineer,102322,"100,000 - 120,000 USD",USD,SE,Senior,PT,Part-Time,Sweden,M,Medium,Sweden,100,"MLOps, Python, SQL",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Associate,8,Telecommunications,1/29/2025,3/5/2025,35,1047,9.9,Smart Analytics
12,AI00012,AI Architect,115047,"100,000 - 120,000 USD",USD,EX,Executive,CT,Contract,South Korea,S,Small,South Korea,0,"R, Data Visualization, Python, Azure",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Master,15,Manufacturing,7/16/2024,8/19/2024,34,513,6.8,TechCorp Inc
13,AI00013,AI Consultant,124355,"120,000 - 140,000 USD",EUR,SE,Senior,CT,Contract,France,M,Medium,France,100,"Tableau, Python, TensorFlow",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,PhD,5,Automotive,12/29/2024,1/27/2025,29,760,5.2,Predictive Systems
14,AI00014,Autonomous Systems Engineer,68760,"60,000 - 80,000 USD",USD,EN,Entry-level,CT,Contract,Norway,S,Small,Norway,0,"Scala, SQL, Statistics",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Master,0,Energy,2/11/2024,2/25/2024,14,1657,9.1,Cloud AI Solutions
15,AI00015,AI Research Scientist,150122,"140,000 - 160,000 USD",USD,SE,Senior,FT,Full-Time,Sweden,M,Medium,Sweden,100,"PyTorch, Python, Data Visualization, GCP",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Associate,6,Technology,10/2/2024,11/26/2024,55,1466,9.8,Advanced Robotics
16,AI00016,AI Product Manager,78846,"60,000 - 80,000 USD",GBP,EN,Entry-level,PT,Part-Time,United Kingdom,L,Large,Israel,0,"Linux, Statistics, Deep Learning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PhD,0,Consulting,9/28/2024,10/26/2024,28,2059,9.6,DataVision Ltd
17,AI00017,Principal Data Scientist,59823,"40,000 - 60,000 USD",USD,EN,Entry-level,FT,Full-Time,India,L,Large,India,100,"Tableau, NLP, Spark",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,Bachelor,1,Real Estate,2/6/2025,3/26/2025,48,1200,5.8,Predictive Systems
18,AI00018,Machine Learning Engineer,181139,"More than 180,000 USD",EUR,EX,Executive,CT,Contract,France,L,Large,France,100,"MLOps, PyTorch, Azure",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Associate,15,Real Estate,4/24/2024,6/3/2024,40,2142,8.7,AI Innovations
19,AI00019,Data Engineer,155300,"140,000 - 160,000 USD",USD,SE,Senior,CT,Contract,Singapore,M,Medium,Singapore,0,"Git, Hadoop, R, Python, Spark",0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,Associate,9,Finance,4/30/2024,5/29/2024,29,589,8.6,Algorithmic Solutions
20,AI00020,Research Scientist,93851,"80,000 - 100,000 USD",EUR,MI,Mid-level,PT,Part-Time,Netherlands,L,Large,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,PhD,4,Transportation,5/1/2024,7/2/2024,62,1809,6.7,AI Innovations
21,AI00021,Data Engineer,134197,"120,000 - 140,000 USD",USD,MI,Mid-level,FT,Full-Time,Norway,M,Medium,France,0,"Deep Learning, AWS, Azure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bachelor,3,Telecommunications,6/21/2024,8/28/2024,68,969,9.6,AI Innovations
22,AI00022,Autonomous Systems Engineer,102550,"100,000 - 120,000 USD",USD,MI,Mid-level,PT,Part-Time,United States,M,Medium,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,Bachelor,2,Automotive,4/23/2024,6/23/2024,61,625,10,Cognitive Computing
23,AI00023,ML Ops Engineer,99382,"80,000 - 100,000 USD",EUR,SE,Senior,CT,Contract,Germany,S,Small,Germany,0,"Hadoop, Git, Tableau",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,PhD,7,Automotive,3/13/2025,5/11/2025,59,1629,6.9,Quantum Computing Inc
24,AI00024,AI Product Manager,52167,"40,000 - 60,000 USD",USD,MI,Mid-level,FT,Full-Time,Austria,M,Medium,Ireland,100,"Git, Hadoop, Docker",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Master,4,Telecommunications,6/7/2024,6/24/2024,17,2298,9.3,Cloud AI Solutions
25,AI00025,ML Ops Engineer,53923,"40,000 - 60,000 USD",USD,MI,Mid-level,FT,Full-Time,China,S,Small,China,0,"AWS, Azure, Git, SQL, Computer Vision",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Bachelor,2,Healthcare,10/27/2024,11/18/2024,22,1006,7.4,AI Innovations
26,AI00026,Robotics Engineer,109779,"100,000 - 120,000 USD",USD,SE,Senior,PT,Part-Time,Israel,L,Large,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,PhD,6,Government,8/1/2024,10/2/2024,62,1146,8.8,DataVision Ltd
27,AI00027,ML Ops Engineer,80979,"80,000 - 100,000 USD",USD,MI,Mid-level,CT,Contract,Australia,S,Small,India,50,"Hadoop, Linux, Git, Scala",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Master,2,Media,11/18/2024,1/18/2025,61,2109,7.7,TechCorp Inc
28,AI00028,Data Analyst,52997,"40,000 - 60,000 USD",USD,MI,Mid-level,PT,Part-Time,Austria,M,Medium,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,PhD,2,Government,1/10/2025,2/20/2025,41,2101,8.6,Predictive Systems
29,AI00029,Head of AI,42819,"40,000 - 60,000 USD",USD,EN,Entry-level,CT,Contract,Ireland,M,Medium,Ireland,50,"Python, Scala, NLP, Mathematics, Git",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,PhD,0,Healthcare,10/8/2024,11/20/2024,43,2187,8.6,Cognitive Computing
30,AI00030,ML Ops Engineer,82083,"80,000 - 100,000 USD",USD,MI,Mid-level,CT,Contract,Israel,L,Large,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Master,2,Retail,1/18/2024,2/25/2024,38,1212,6.3,Future Systems
31,AI00031,Head of AI,67488,"60,000 - 80,000 USD",EUR,EN,Entry-level,FT,Full-Time,Netherlands,M,Medium,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Master,1,Retail,5/16/2024,7/26/2024,71,887,6,Advanced Robotics
32,AI00032,Research Scientist,68624,"60,000 - 80,000 USD",USD,EN,Entry-level,FT,Full-Time,Denmark,M,Medium,Denmark,0,"Azure, Python, Spark",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Master,1,Real Estate,1/31/2024,3/8/2024,37,1910,9.2,Cloud AI Solutions
33,AI00033,Robotics Engineer,146852,"140,000 - 160,000 USD",USD,SE,Senior,FT,Full-Time,Switzerland,S,Small,Switzerland,50,"NLP, Scala, Python",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,PhD,7,Real Estate,8/28/2024,9/20/2024,23,684,5.3,Cognitive Computing
34,AI00034,ML Ops Engineer,178183,"160,000 - 180,000 USD",USD,EX,Executive,FL,Freelance,Finland,M,Medium,Finland,0,"Tableau, Azure, GCP, Linux, Python",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Associate,16,Education,3/1/2024,3/19/2024,18,1850,5.7,Predictive Systems
35,AI00035,Deep Learning Engineer,150864,"140,000 - 160,000 USD",USD,SE,Senior,FL,Freelance,Sweden,L,Large,Singapore,0,"R, GCP, MLOps, Linux",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,PhD,8,Consulting,10/26/2024,12/25/2024,60,1504,7.9,Smart Analytics
36,AI00036,Head of AI,126942,"120,000 - 140,000 USD",USD,EX,Executive,CT,Contract,Finland,L,Large,Netherlands,0,"Git, Hadoop, Data Visualization",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Associate,10,Finance,1/31/2024,2/26/2024,26,1261,9.9,Autonomous Tech
37,AI00037,AI Architect,53752,"40,000 - 60,000 USD",USD,MI,Mid-level,PT,Part-Time,Japan,M,Medium,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Associate,2,Telecommunications,10/17/2024,11/12/2024,26,998,6.1,TechCorp Inc
38,AI00038,Robotics Engineer,111381,"100,000 - 120,000 USD",USD,EX,Executive,CT,Contract,Israel,S,Small,Israel,0,"Linux, PyTorch, SQL, Statistics",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Master,18,Government,1/14/2024,3/12/2024,58,1030,8.1,Autonomous Tech
39,AI00039,AI Specialist,41430,"40,000 - 60,000 USD",USD,EN,Entry-level,PT,Part-Time,China,M,Medium,China,50,"Tableau, Docker, GCP",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bachelor,1,Healthcare,6/15/2024,7/29/2024,44,2323,8,Future Systems
40,AI00040,Data Engineer,166080,"160,000 - 180,000 USD",EUR,EX,Executive,FL,Freelance,Netherlands,L,Large,Netherlands,100,"Computer Vision, Azure, Tableau",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Associate,15,Government,3/1/2024,5/1/2024,61,831,5.1,DeepTech Ventures
41,AI00041,Data Scientist,96956,"80,000 - 100,000 USD",USD,MI,Mid-level,FT,Full-Time,United States,M,Medium,China,0,"Data Visualization, Azure, Spark, MLOps",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Bachelor,2,Telecommunications,2/24/2024,3/9/2024,14,761,5.3,DataVision Ltd
42,AI00042,AI Architect,196954,"More than 180,000 USD",USD,SE,Senior,FL,Freelance,United States,L,Large,United States,50,"Java, Mathematics, SQL",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Bachelor,8,Finance,3/17/2025,4/16/2025,30,2290,7.5,DataVision Ltd
43,AI00043,AI Specialist,56745,"40,000 - 60,000 USD",USD,EN,Entry-level,PT,Part-Time,Finland,L,Large,Finland,100,"Spark, Mathematics, GCP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Associate,1,Telecommunications,2/1/2025,4/11/2025,69,502,5.5,Quantum Computing Inc
44,AI00044,Machine Learning Researcher,113455,"100,000 - 120,000 USD",USD,SE,Senior,FT,Full-Time,Singapore,M,Medium,Singapore,50,"Hadoop, Docker, Python, Azure",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Associate,8,Retail,4/24/2024,6/12/2024,49,1281,8,AI Innovations
45,AI00045,ML Ops Engineer,158808,"140,000 - 160,000 USD",EUR,SE,Senior,PT,Part-Time,Netherlands,M,Medium,Netherlands,50,"Docker, R, Linux",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bachelor,5,Media,3/3/2025,5/3/2025,61,1926,7.4,Future Systems
46,AI00046,AI Research Scientist,174663,"160,000 - 180,000 USD",USD,SE,Senior,CT,Contract,United States,M,Medium,Singapore,50,"Data Visualization, Statistics, R",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Associate,7,Media,1/10/2024,3/22/2024,72,1151,5.4,DeepTech Ventures
47,AI00047,AI Research Scientist,46753,"40,000 - 60,000 USD",USD,EN,Entry-level,CT,Contract,India,S,Small,India,50,"Scala, Java, Tableau",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,PhD,1,Manufacturing,11/16/2024,12/18/2024,32,2012,9.7,Quantum Computing Inc
48,AI00048,AI Software Engineer,69020,"60,000 - 80,000 USD",USD,MI,Mid-level,FL,Freelance,China,L,Large,China,0,"Java, Azure, GCP",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bachelor,4,Energy,9/5/2024,10/25/2024,50,1584,8.8,TechCorp Inc
49,AI00049,AI Specialist,288815,"More than 180,000 USD",USD,EX,Executive,PT,Part-Time,Switzerland,S,Small,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bachelor,12,Manufacturing,8/8/2024,9/23/2024,46,1930,7.2,Cognitive Computing
50,AI00050,AI Consultant,124871,"120,000 - 140,000 USD",USD,EX,Executive,FL,Freelance,Austria,M,Medium,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PhD,19,Media,3/10/2025,5/17/2025,68,1556,8,Autonomous Tech
51,AI00051,AI Architect,70391,"60,000 - 80,000 USD",EUR,MI,Mid-level,FT,Full-Time,Germany,S,Small,Germany,0,"Deep Learning, SQL, Mathematics",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PhD,4,Government,8/16/2024,10/19/2024,64,1974,9.2,TechCorp Inc
52,AI00052,Research Scientist,115376,"100,000 - 120,000 USD",USD,EX,Executive,FT,Full-Time,India,M,Medium,India,100,"Linux, R, Azure, Mathematics, Git",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Master,17,Technology,3/12/2024,4/14/2024,33,2028,5.5,Autonomous Tech
53,AI00053,Research Scientist,106579,"100,000 - 120,000 USD",USD,MI,Mid-level,PT,Part-Time,United States,S,Small,United States,100,"Docker, Tableau, Mathematics",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Associate,3,Gaming,2/24/2024,5/2/2024,68,2028,5.4,Cognitive Computing
54,AI00054,Data Scientist,135230,"120,000 - 140,000 USD",USD,SE,Senior,PT,Part-Time,Norway,S,Small,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,PhD,8,Consulting,7/7/2024,9/9/2024,64,1219,7.5,DataVision Ltd
55,AI00055,Research Scientist,67607,"60,000 - 80,000 USD",USD,MI,Mid-level,PT,Part-Time,Israel,S,Small,Israel,50,"Python, Tableau, TensorFlow, AWS",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Master,4,Media,8/5/2024,8/26/2024,21,1714,8.6,Quantum Computing Inc
56,AI00056,AI Architect,88470,"80,000 - 100,000 USD",USD,MI,Mid-level,PT,Part-Time,Canada,L,Large,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Associate,3,Real Estate,7/29/2024,9/27/2024,60,1528,9.1,Autonomous Tech
57,AI00057,Autonomous Systems Engineer,79863,"60,000 - 80,000 USD",USD,MI,Mid-level,FL,Freelance,India,L,Large,India,100,"Python, Docker, GCP, Scala",0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Associate,4,Automotive,9/28/2024,10/26/2024,28,1325,5.6,Autonomous Tech
58,AI00058,Machine Learning Engineer,60299,"60,000 - 80,000 USD",USD,EN,Entry-level,PT,Part-Time,Israel,L,Large,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,PhD,0,Finance,3/22/2025,5/1/2025,40,1872,6.6,Advanced Robotics
59,AI00059,Machine Learning Engineer,85645,"80,000 - 100,000 USD",EUR,MI,Mid-level,FT,Full-Time,Germany,M,Medium,Germany,0,"PyTorch, Computer Vision, R",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Associate,4,Transportation,2/9/2024,3/6/2024,26,793,7.9,AI Innovations
60,AI00060,AI Software Engineer,110222,"100,000 - 120,000 USD",GBP,SE,Senior,FL,Freelance,United Kingdom,S,Small,France,0,"R, Spark, AWS",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Associate,8,Media,3/20/2024,5/5/2024,46,1945,9,TechCorp Inc
61,AI00061,Data Scientist,49365,"40,000 - 60,000 USD",USD,EN,Entry-level,FT,Full-Time,China,M,Medium,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Associate,1,Finance,6/22/2024,8/14/2024,53,1907,10,Predictive Systems
62,AI00062,Data Scientist,162296,"160,000 - 180,000 USD",USD,SE,Senior,PT,Part-Time,Norway,S,Small,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bachelor,6,Finance,6/5/2024,7/1/2024,26,1714,6.2,Neural Networks Co
63,AI00063,AI Consultant,102382,"100,000 - 120,000 USD",USD,MI,Mid-level,PT,Part-Time,Switzerland,M,Medium,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,PhD,3,Education,3/23/2024,6/3/2024,72,2199,5.8,Smart Analytics
64,AI00064,AI Software Engineer,99972,"80,000 - 100,000 USD",USD,MI,Mid-level,PT,Part-Time,Australia,M,Medium,Canada,50,"Java, R, Deep Learning, NLP, Azure",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,PhD,4,Technology,2/20/2024,3/15/2024,24,799,6.5,Cloud AI Solutions
65,AI00065,Data Engineer,64129,"60,000 - 80,000 USD",USD,EN,Entry-level,CT,Contract,South Korea,L,Large,South Korea,0,"Java, Git, Deep Learning",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bachelor,0,Manufacturing,12/15/2024,2/11/2025,58,909,7.1,Machine Intelligence Group
66,AI00066,AI Specialist,87938,"80,000 - 100,000 USD",USD,SE,Senior,FT,Full-Time,Ireland,S,Small,Ireland,100,"Mathematics, Spark, Python, AWS",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,PhD,8,Education,12/15/2024,2/12/2025,59,508,8.1,Machine Intelligence Group
67,AI00067,Autonomous Systems Engineer,71405,"60,000 - 80,000 USD",USD,MI,Mid-level,FL,Freelance,Israel,L,Large,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,Associate,4,Retail,9/1/2024,10/29/2024,58,1153,9.5,Advanced Robotics
68,AI00068,Machine Learning Engineer,316182,"More than 180,000 USD",USD,EX,Executive,PT,Part-Time,Denmark,M,Medium,Canada,0,"Python, Scala, Statistics, Git",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Associate,12,Finance,2/9/2025,2/23/2025,14,2452,7,Digital Transformation LLC
69,AI00069,Machine Learning Researcher,72459,"60,000 - 80,000 USD",EUR,EN,Entry-level,PT,Part-Time,Germany,M,Medium,Germany,100,"Hadoop, Python, Kubernetes, Azure",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,Bachelor,0,Gaming,8/30/2024,9/15/2024,16,583,9.6,Quantum Computing Inc
70,AI00070,Principal Data Scientist,78338,"60,000 - 80,000 USD",EUR,MI,Mid-level,FT,Full-Time,France,L,Large,France,100,"MLOps, Kubernetes, Git, Python",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Associate,3,Technology,10/31/2024,12/15/2024,45,548,8.7,Cognitive Computing
71,AI00071,NLP Engineer,51907,"40,000 - 60,000 USD",USD,MI,Mid-level,FL,Freelance,Israel,M,Medium,Singapore,100,"AWS, Kubernetes, Azure",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bachelor,4,Healthcare,2/14/2024,4/2/2024,48,912,8.2,Neural Networks Co
72,AI00072,Autonomous Systems Engineer,122831,"120,000 - 140,000 USD",EUR,SE,Senior,FL,Freelance,France,S,Small,France,100,"PyTorch, Kubernetes, Git, SQL",0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,Master,7,Real Estate,5/31/2024,6/19/2024,19,761,8.4,Algorithmic Solutions
73,AI00073,Machine Learning Researcher,124820,"120,000 - 140,000 USD",USD,MI,Mid-level,FL,Freelance,Norway,S,Small,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Associate,3,Real Estate,8/2/2024,10/1/2024,60,2077,9.9,Cognitive Computing
74,AI00074,Autonomous Systems Engineer,134200,"120,000 - 140,000 USD",GBP,SE,Senior,PT,Part-Time,United Kingdom,S,Small,United Kingdom,50,"Linux, R, Tableau",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,PhD,9,Retail,11/29/2024,1/9/2025,41,2396,7.8,Machine Intelligence Group
75,AI00075,Data Engineer,51920,"40,000 - 60,000 USD",USD,EN,Entry-level,PT,Part-Time,Sweden,S,Small,Finland,100,"Scala, R, Tableau, Data Visualization",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,PhD,0,Consulting,4/8/2025,5/13/2025,35,1778,7.9,Digital Transformation LLC
76,AI00076,Data Engineer,56427,"40,000 - 60,000 USD",USD,EN,Entry-level,FL,Freelance,Singapore,M,Medium,Singapore,100,"Mathematics, Kubernetes, Spark",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Master,0,Energy,11/16/2024,1/25/2025,70,1366,5.2,DeepTech Ventures
77,AI00077,AI Product Manager,213783,"More than 180,000 USD",USD,EX,Executive,FT,Full-Time,Canada,S,Small,Canada,100,"Kubernetes, Spark, Statistics, Scala",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Bachelor,16,Energy,9/19/2024,10/6/2024,17,2383,9.2,Quantum Computing Inc
78,AI00078,ML Ops Engineer,59728,"40,000 - 60,000 USD",USD,MI,Mid-level,FL,Freelance,Israel,M,Medium,Israel,50,"MLOps, SQL, Statistics",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Associate,2,Finance,6/10/2024,8/13/2024,64,1350,7.5,DataVision Ltd
79,AI00079,Computer Vision Engineer,119432,"100,000 - 120,000 USD",USD,SE,Senior,CT,Contract,India,L,Large,India,0,"Scala, MLOps, NLP",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,PhD,6,Technology,4/20/2024,6/8/2024,49,1008,6.3,Autonomous Tech
80,AI00080,AI Research Scientist,284486,"More than 180,000 USD",USD,EX,Executive,CT,Contract,United States,M,Medium,United States,0,"PyTorch, Linux, SQL",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Master,12,Consulting,2/13/2025,3/10/2025,25,2231,7,TechCorp Inc
