Comparison Name,Difference,Lower,Upper,P-value(Adjustment)
Transportation / Media             ,-1289.92774,-10341.549 ,7761.693,1
Retail / Real Estate               ,-1142.73221,-10133.733 ,7848.268,1
Technology / Real Estate             ,-87.2714, -9190.061 ,9015.518,1
Technology / Retail                 ,1055.46081,  -7926.401,10037.323,1
Transportation / Real Estate       ,-1081.29293,-10215.919 ,8053.333,1
Retail / Healthcare                  ,342.47947, -8671.646 ,9356.605,1
Technology / Media                  ,-295.90621, -9315.398 ,8723.585,1
Healthcare / Finance                ,-889.51472,-10077.099 ,8298.069,1
Telecommunications / Finance         ,-31.98714, -9219.571 ,9155.597,1
Technology / Education              ,-194.97941, -9418.609 ,9028.651,1
Retail / Education                 ,-1250.44022,-10363.764 ,7862.884,1
Real Estate / Education             ,-107.70801, -9340.237 ,9124.821,1
Media / Education                    ,100.9268, -9049.486 ,9251.339,1
Manufacturing / Education            ,136.08543, -9201.015 ,9473.186,1
Government / Education              ,-332.4817, -9585.263 ,8920.299,1
Telecommunications / Education      ,-735.39211, -9990.443 ,8519.659,1
Finance / Education                 ,-703.40497, -9988.334 ,8581.524,1
Transportation / Automotive          ,850.56123, -8255.058 ,9956.181,1
Telecommunications / Automotive     ,1304.17006,  -7801.450,10409.79,1
Retail / Automotive                  ,789.12195, -8172.407 ,9750.651,1
Healthcare / Automotive              ,446.64247, -8658.977 ,9552.262,1
Gaming / Automotive                ,-1007.6662,-10184.436 ,8169.103,1
Energy / Automotive                 ,1201.1953,  -7953.829,10356.219,1
Energy / Education                  ,-838.36687,-10142.029 ,8465.295,1
Transportation / Education         ,-1189.00094,-10444.052 ,8066.05,1
Finance / Energy                     ,134.9619, -9101.588 ,9371.512,1
Government / Energy                  ,505.88517, -8698.348 ,9710.118,1
Technology / Finance                 ,508.42556, -8647.506 ,9664.357,1
Retail / Finance                    ,-547.03525, -9591.835 ,8497.765,1
Real Estate / Finance                ,595.69696, -8569.200 ,9760.593,1
Media / Finance                      ,804.33177, -8277.837 ,9886.5,1
Manufacturing / Finance              ,839.4904,  -8430.740,10109.721,1
Transportation / Technology         ,-994.02153,-10119.653 ,8131.61,1
Government / Finance                 ,370.92327, -8814.374 ,9556.221,1
Transportation / Energy             ,-350.63407, -9557.149 ,8855.881,1
Telecommunications / Energy          ,102.97476, -9103.540 ,9309.49,1
Technology / Energy                  ,643.38746, -8531.541 ,9818.315,1
Retail / Energy                     ,-412.07335, -9476.102 ,8651.956,1
Real Estate / Energy                 ,730.65886, -8453.215 ,9914.533,1
Media / Energy                       ,939.29367,  -8162.025,10040.612,1
Manufacturing / Energy               ,974.4523,  -8314.541,10263.446,1
Healthcare / Energy                 ,-754.55282, -9961.068 ,8451.962,1
Transportation / Finance            ,-485.59597, -9673.180 ,8701.988,1
Transportation / Telecommunications ,-453.60883, -9610.997 ,8703.78,1
