Comparison Yrs of Exp.(First),Comparison Yrs of Exp.(Last),Years Difference,Differentation,Lower,Upper,P-value(Adjustment)
16,1,15,118052.5284,110653.5396,125451.5171,0
2,17,15,-96484.97941,-104509.2486,-88460.7102,0
3,18,15,-99363.72062,-107496.6764,-91230.76486,0
4,19,15,-102409.2517,-110269.3936,-94549.10977,0
16,0,16,118095.4362,110718.4019,125472.4705,0
17,1,16,122153.9545,114428.1631,129879.746,0
2,18,16,-97655.72759,-105794.4357,-89517.01946,0
3,19,16,-103225.6176,-111119.8654,-95331.36972,0
17,0,17,122196.8623,114492.094,129901.6306,0
18,1,17,123324.7027,115480.1168,131169.2886,0
2,19,17,-101517.6245,-109417.7985,-93617.45051,0
18,0,18,123367.6105,115543.7286,131191.4924,0
19,1,18,127186.5996,119589.7775,134783.4218,0
19,0,19,127229.5074,119654.0663,134804.9485,0
16,12,4,-14058.27735,-23794.4241,-4322.13064,0.0000573
15,12,3,-10594.84141,-20395.4164,-794.26646,0.018424
16,13,3,-9684.577,-19228.6236,-140.53042,0.0420857
17,12,5,-9956.85122,-19943.6111,29.90861,0.0517571
14,12,2,-9516.45052,-19496.3584,463.45739,0.0837375
19,16,3,9134.07124,-492.9137,18761.05622,0.0880683
16,10,6,-9075.95736,-18664.0546,512.13992,0.0901419
18,12,6,-8786.10305,-18865.0437,1292.83765,0.1862551
12,11,1,7781.29474,-2138.3968,17700.98631,0.3693871
16,11,5,-6276.98261,-15937.2049,3383.23973,0.7326526
15,13,2,-6221.14106,-15830.9039,3388.62177,0.7386059
8,7,1,4107.95268,-2864.4287,11080.33401,0.8632955
19,15,4,5670.6353,-4021.5036,15362.7742,0.8704437
7,6,1,-4023.62642,-10916.6517,2869.39882,0.8727495
15,10,5,-5612.52142,-15266.0351,4040.99224,0.8766617
17,13,4,-5583.15087,-15382.7245,4216.42281,0.8951324
8,5,3,3832.13594,-3166.9167,10831.18859,0.9251256
6,5,1,3747.80968,-3172.1927,10667.8121,0.9320122
18,16,2,5272.17431,-4551.5042,15095.85286,0.9373681
14,13,1,-5142.75016,-14935.3409,4649.84061,0.9487378
19,17,2,5032.64511,-4847.7222,14913.01246,0.9617966
12,10,2,4982.32,-4867.1467,14831.78671,0.9643225
17,10,7,-4974.53123,-14817.012,4867.94958,0.9646246
19,12,7,-4924.20612,-14811.5326,4963.12037,0.9694888
16,14,2,-4541.82683,-14263.8727,5180.21908,0.9845064
19,14,5,4592.2444,-5281.1972,14465.686,0.9852436
14,10,4,-4534.13052,-14369.6589,5301.39785,0.9866339
13,12,1,-4373.70036,-14180.2905,5432.88978,0.9908325
18,13,5,-4412.40269,-14305.9014,5481.09607,0.9908339
17,16,1,4101.42613,-5627.6533,13830.50557,0.9953225
19,18,1,3861.89693,-6111.6347,13835.42853,0.9984163
18,10,8,-3803.78305,-13739.7834,6132.21725,0.9986381
16,15,1,-3463.43594,-13001.3018,6074.42988,0.9993349
13,11,2,3407.59439,-6323.621,13138.80977,0.9995997
3,2,1,-1707.99303,-7101.1726,3685.18656,0.9999073
9,7,2,2140.12278,-4778.6698,9058.91535,0.999935
19,11,8,2857.08863,-6955.4833,12669.66056,0.9999743
15,11,4,-2813.54667,-12538.7003,6911.60691,0.9999767
11,10,1,-2798.97475,-12573.3974,6975.44786,0.9999801
9,8,1,-1967.8299,-9001.2845,5065.62466,0.9999862
9,6,3,-1883.50364,-8838.299,5071.29173,0.9999918
9,5,4,1864.30605,-5081.3636,8809.97571,0.9999929
17,11,6,-2175.55648,-12088.3116,7737.19867,0.9999997
1,0,1,42.90778,-4367.7046,4453.52019,1
15,14,1,-1078.39089,-10864.9579,8708.17609,1
18,17,1,1170.74818,-8901.3658,11242.86213,1
4,3,1,816.36587,-4518.0008,6150.73252,1
17,15,2,637.99019,-9155.564,10431.54437,1
4,2,2,-891.62716,-6234.76,4451.50564,1
7,5,2,-275.81673,-7159.6344,6608.00092,1
8,6,2,84.32626,-6923.7826,7092.43509,1
13,10,3,608.61964,-9051.0008,10268.24006,1
14,11,3,-1735.15578,-11641.0078,8170.69626,1
17,14,3,-440.40071,-10413.4141,9532.61267,1
18,15,3,1808.73837,-8078.7981,11696.27482,1
18,14,4,730.34747,-9334.9727,10795.66761,1
19,13,6,-550.50576,-10248.7271,9147.71558,1
18,11,7,-1004.8083,-11010.4261,9000.80953,1
19,10,9,58.11388,-9683.461,9799.68878,1
